name,mar_fy19,mar_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,7521204.0,7124379.0,52696183.0,46711786.0,5984397.0,6979817.0,88.3
traffic_fines,542826.0,603936.0,3527046.0,3696192.0,-169146.0,3672954.0,48.99
payments_in_lieu_of_taxes,1369600.0,1369110.0,2450544.0,2236732.0,213812.0,149456.0,94.25
cable_television,1996049.0,,16551450.0,17521406.0,-969956.0,7811550.0,67.94
emergency_medical_services,6062719.0,12922.0,28960240.0,28124209.0,836031.0,11039760.0,72.4
court_related_costs,5956135.0,3741173.0,48979672.0,36711757.0,12267915.0,-5979672.0,113.91
interest_earnings,1616908.0,53551.0,10730077.0,3828353.0,6901724.0,-7961077.0,387.51
asset_sales,269081.0,135446.0,957906.0,832207.0,125699.0,292094.0,76.63
all_other_local_nontaxes,11627406.0,7144663.0,82301330.0,92009362.0,-9708032.0,28524670.0,74.26
total_local_nontax_revenue,36961928.0,20185180.0,247154448.0,231672004.0,15482444.0,44529552.0,84.73
