name,jul_fy15,jul_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3318165.0,3140568.0,3318165.0,3140568.0,177597.0,46146835.0,6.71
traffic_fines,620583.0,553266.0,620583.0,553266.0,67317.0,7379417.0,7.76
payments_in_lieu_of_taxes,124372.0,108410.0,124372.0,108410.0,15962.0,2275628.0,5.18
cable_television,4419576.0,4446895.0,4419576.0,4446895.0,-27319.0,17715424.0,19.97
emergency_medical_services,2808481.0,2856528.0,2808481.0,2856528.0,-48047.0,34591519.0,7.51
court_related_costs,3882935.0,3988814.0,3882935.0,3988814.0,-105879.0,42967065.0,8.29
interest_earnings,137216.0,74965.0,137216.0,74965.0,62251.0,1731784.0,7.34
asset_sales,415006.0,,415006.0,,415006.0,834994.0,33.2
all_other_local_nontaxes,10669968.0,13182837.0,10669968.0,13182837.0,-2512869.0,790673032.0,1.33
total_local_nontax_revenue,26396302.0,28352283.0,26396302.0,28352283.0,-1955981.0,944315698.0,2.72
