name,dec_fy17,dec_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3808833.0,3154668.0,24578776.0,21811392.0,2767384.0,29747224.0,45.24
traffic_fines,365717.0,411798.0,2310344.0,2883832.0,-573488.0,4089656.0,36.1
payments_in_lieu_of_taxes,30000.0,,782879.0,777639.0,5240.0,1817121.0,30.11
cable_television,,,11735114.0,11298040.0,437074.0,13131886.0,47.19
emergency_medical_services,3543662.0,3153740.0,22233681.0,,22233681.0,16766319.0,57.01
court_related_costs,3589063.0,3457868.0,23047371.0,22548302.0,499069.0,18752629.0,55.14
interest_earnings,157629.0,690347.0,1869876.0,4005242.0,-2135366.0,-369876.0,124.66
asset_sales,116482.0,,531820.0,3924149.0,-3392329.0,4718180.0,10.13
all_other_local_nontaxes,9605912.0,13487368.0,60952011.0,78237880.0,-17285869.0,50595989.0,54.64
total_local_nontax_revenue,21217298.0,24355789.0,148041872.0,145486476.0,2555396.0,139249128.0,51.53
