name,jun_fy15,jun_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4609143.0,3458004.0,52524793.0,50727259.0,1797534.0,-1334793.0,102.61
traffic_fines,487865.0,507276.0,6424950.0,7056933.0,-631983.0,575050.0,91.79
payments_in_lieu_of_taxes,1345677.0,1228088.0,3827172.0,3723232.0,103940.0,-1427172.0,159.47
cable_television,,,21929922.0,21559132.0,370790.0,205078.0,99.07
emergency_medical_services,2994063.0,3059900.0,35782725.0,35918257.0,-135532.0,1617275.0,95.68
court_related_costs,4310210.0,4102082.0,45629770.0,45484848.0,144922.0,-3929770.0,109.42
interest_earnings,359884.0,92855.0,1759918.0,1671999.0,87919.0,-659918.0,159.99
asset_sales,3377.0,28110152.0,1756297.0,28935128.0,-27178831.0,1743703.0,50.18
all_other_local_nontaxes,4853448.0,3730611.0,103232852.0,105489113.0,-2256261.0,29568148.0,77.73
total_local_nontax_revenue,18963667.0,44288968.0,272868399.0,300565901.0,-27697502.0,26357601.0,91.19
