name,sep_fy15,sep_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4081696.0,2121639.0,10416886.0,8742511.0,1674375.0,39048114.0,21.06
traffic_fines,466845.0,529582.0,1547932.0,1757846.0,-209914.0,6452068.0,19.35
payments_in_lieu_of_taxes,5074.0,10148.0,304446.0,289804.0,14642.0,2095554.0,12.69
cable_television,,,5519200.0,5217209.0,301991.0,16615800.0,24.93
emergency_medical_services,2916401.0,2863720.0,8960568.0,8791234.0,169334.0,28439432.0,23.96
court_related_costs,3878896.0,3681111.0,11927246.0,12149247.0,-222001.0,34922754.0,25.46
interest_earnings,44952.0,243939.0,418919.0,447151.0,-28232.0,1450081.0,22.41
asset_sales,75168.0,57005.0,490348.0,117179.0,373169.0,759652.0,39.23
all_other_local_nontaxes,7924398.0,10450396.0,27794165.0,34127221.0,-6333056.0,773548835.0,3.47
total_local_nontax_revenue,19393430.0,19957540.0,67379710.0,71639402.0,-4259692.0,903332290.0,6.94
