name,jan_fy18,jan_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5522490.0,2754718.0,32780548.0,27333495.0,5447053.0,26395452.0,55.4
traffic_fines,397291.0,420740.0,2722332.0,2731084.0,-8752.0,4077668.0,40.03
payments_in_lieu_of_taxes,287957.0,265518.0,867621.0,1048397.0,-180776.0,1732379.0,33.37
cable_television,,,11875275.0,11735114.0,140161.0,11360725.0,51.11
emergency_medical_services,3939081.0,3512729.0,24920299.0,25746409.0,-826110.0,17579701.0,58.64
court_related_costs,4497631.0,3720438.0,29410094.0,26767807.0,2642287.0,12839906.0,69.61
interest_earnings,2257415.0,1345644.0,3729489.0,3215518.0,513971.0,-2029489.0,219.38
asset_sales,1478.0,41633.0,696761.0,573453.0,123308.0,14053239.0,4.72
all_other_local_nontaxes,9589447.0,16809745.0,76925666.0,77761756.0,-836090.0,37120334.0,67.45
total_local_nontax_revenue,26492790.0,28871165.0,183928085.0,176913033.0,7015052.0,123129915.0,59.9
