0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/ Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
City Planning Commission,,,,,,,,
Full-Time Positions,40,33,34,33,33,31,2,2
Class 100 Total Oblig./Approp.,"2,745,493","2,129,152","2,091,813","2,091,813","2,137,171","2,137,171","(45,358)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
City Representative,,,,,,,,
Full-Time Positions,7,6,6,6,9,8,(2),1
Class 100 Total Oblig./Approp.,"329,524","327,235","328,571","338,082","461,161","461,161","(123,079)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,"2,190","(2,190)","(2,190)"
City Treasurer,,,,,,,,
Full-Time Positions,11,13,14,14,14,13,1,1
Class 100 Total Oblig./Approp.,"619,313","666,050","717,071","745,937","755,428","755,428","(9,491)",0
Class 100 Overtime Oblig./Approp.,996,449,0,0,0,0,0,0
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"128,307","137,932","136,782","136,309","137,088","137,088",(779),0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Clerk of Quarter Sessions (*),,,,,,,,
Full-Time Positions,106,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"4,445,754",o,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp. (*) Transferred to First Judicial District,"118,277",0,0,0,o,0,o,0
