0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR FULL YEAR,2011,
Department/ Category,FY 08 Year End Actual,FY 09 Year End Actual,FY 10 Year End Actual,Adopted Budget,Original Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Public Health,,,,,,,,
Full-Time Positions,665,675,662,742,731,661,81,70
Class 100 Total Oblig./Approp.,"42,058,888","42,857,364","41,387,238","39,395,153","39,157,361","39,157,361","237,792",0
Class 100 Overtime Oblig./Approp.,"2,681,302","2,250,015","2,157,750","2,100,740","2,100,740","2,269,055","(168,315)","(168,315)"
Ambulatory Health Services,,,,,,,,
Full-Time Positions,343,376,359,402,391,361,41,30
Class 100 Total Oblig./Approp.,"23,013,424","24,099,371","24,007,171","20,782,761","20,360,858","20,360,858","421,903",o
Class 100 Overtime Oblig./Approp.,"1,084,899","932,256","928,627","895,507","895,507","1,052,893","(157,386)","(157,386)"
"Early Childhood, Youth & Women's Hlth.",,,,,,,,
Full-Time Positions,23,20,16,20,20,13,7,7
Class 100 Total Oblig./Approp.,"1,726,679","1,140,196","837,996","1,114,952","1,114,952","1,114,952",o,o
Class 100 Overtime Oblig./Approp.,"101,189","31,259","47,509","90,684","90,684","34,555","56,129","56,129"
Phila. Nursing Home,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,o,o
Class 100 Total Oblig./Approp.,"166,739","157,349","162,789","188,594","188,594","188,594",o,O
Class 100 Overtime Oblig./Approp.,"1,889",o,o,o,o,o,o,o
Environmental Protection Services,,,,,,,,
Full-Time Positions,93,88,95,113,113,105,8,8
Class 100 Total Oblig./Approp.,"5,287,936","5,482,947","5,014,494","5,723,192","5,820,192","5,820,192","(97,000)",o
Class 100 Overtime Oblig./Approp.,"323,934","296,037","345,036","213,063","213,063","413,728","(200,665)","(200,665)"
Administration and Support Svcs.,,,,,,,,
Full-Time Positions,104,98,98,97,97,87,10,10
Class 100 Total Oblig./Approp.,"5,999,813","6,162,555","5,871,568","5,419,120","5,506,231","5,506,231","(87,111)",o
Class 100 Overtime Oblig./Approp.,"444,581","436,973","459,508","454,199","454,199","413,728","40,471","40,471"
Medical Examiner's Office,,,,,,,,
Full-Time Positions,48,44,47,52,52,48,4,4
Class 100 Total Oblig /Approp.,"2,998,575","3,172,723","3,101,393","3,216,123","3,216,123","3,216,123",o,o
Class 100 Overtime Oblig./Approp.,"455,204","413,298","272,704","299,432","299,432","226,662","72,770","72,770"
