0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End,FY 20 Year End,FY 21,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,2,2,1,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"168,597","160,826","140,533","97,721","97,721",0,"177,148","179,944","179,944","(2,796)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Commerce,,,,,,,,,,,
Full-Time Positions,48,44,37,31,31,0,51,51,51,0,0
Class 100 Total Oblig./Approp.,"3,028,159","3,453,180","2,499,341","1,830,006","1,830,006",0,"3,614,341","3,681,294","3,681,294","(66,953)",0
Class 100 Overtime Oblig./Approp.,"5,257","6,816",0,"3,750",0,"3,750","10,000","5,000",0,"10,000","5,000"
District Attorney,,,,,,,,,,,
Full-Time Positions,491,545,521,521,512,9,540,540,540,0,0
Class 100 Total Oblig./Approp.,"34,265,564","38,029,618","38,421,902","29,302,807","29,302,807",0,"36,562,904","38,812,427","38,812,427","(2,249,523)",0
Class 100 Overtime Oblig./Approp.,"155,103","135,138","141,860","123,000","284,198","(161,198)","164,000","164,000","164,000",0,0
Finance,,,,,,,,,,,
Full-Time Positions,116,119,119,118,118,0,132,129,129,3,0
Class 100 Total Oblig./Approp.,"7,756,138","9,222,201","9,293,924","7,082,179","7,082,179",0,"10,185,891","10,315,325","10,315,325","(129,434)",0
Class 100 Overtime Oblig./Approp.,"74,302","74,119","128,747","103,267","91,910","11,357","85,259","137,689","137,689","(52,430)",0
Finance Reg #32 Disability,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,413,758","1,092,451","2,167,137","1,840,134","1,840,134",0,"2,293,165","2,293,165","2,293,165",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Fire,,,,,,,,,,,
Full-Time Positions,"2,530","2,628","2,678","2,684","2,684",0,"3,368","2,928","2,928",440,0
Class 100 Total Oblig./Approp.,"283,319,650","303,857,650","318,512,653","249,079,994","249,079,994",0,"332,992,022","344,579,456","344,579,456","(11,587,434)",0
Class 100 Overtime Oblig./Approp.,"50,943,620","63,932,091","62,597,682","52,338,203","48,253,830","4,084,373","69,784,271","69,784,271","65,084,271","4,700,000","4,700,000"
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,842","1,825","1,773","1,693","1,693",0,"1,822","1,822","1,822",0,0
Class 100 Total Oblig./Approp.,"100,719,400","103,276,427","102,667,998","70,678,461","70,678,461",0,"105,324,122","107,950,378","108,874,250","(3,550,128)","(923,872)"
Class 100 Overtime Oblig./Approp.,"24,242","47,641","12,832","18,630","5,923","12,707","94,840","24,840","24,840","70,000",0
