0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2021 YEAR TO DATE,,,,FY 2021 FULL YEAR,,
Department/Category,FY 18 Year End Actual,FY 19 Year End Actual,FY 20 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Planning and Development,,,,,,,,,,,
Full-Time Positions,49,56,55,54,54,0,62,62,62,0,0
Class 100 Total Oblig./Approp.,"3,894,669","4,695,950","4,778,297","998,623","998,623",0,"4,834,959","4,834,959","4,834,959",0,0
Class 100 Overtime Oblig./Approp.,"15,829","14,817","13,575",0,979,(979),0,0,"9,344","(9,344)","(9,344)"
Police,,,,,,,,,,,
Full-Time Positions,"7,172","7,241","7,175","7,093","7,093",0,"7,304","7,304","7,304",0,0
Class 100 Total Oblig./Approp.,"670,260,752","685,445,815","736,072,678","153,679,142","153,679,142",0,"704,077,967","704,077,967","704,077,967",0,0
Class 100 Overtime Oblig./Approp.*,"68,238,536","61,647,723","78,667,457","12,776,151","13,677,761","(901,610)","51,104,605","51,104,605","61,497,881","(10,393,276)","(10,393,276)"
*Police OT is abated as reimbursements occur Prisons,,,,,,,,,,,
Full-Time Positions,"2,177","2,130","1,975","1,885","1,885",0,"2,006","2,006","2,006",0,0
Class 100 Total Oblig./Approp.,"149,461,785","138,537,912","137,253,128","26,897,106","26,897,106",0,"126,599,446","126,599,446","126,599,446",0,0
Class 100 Overtime Oblig./Approp.,"33,450,882","24,169,020","26,918,548","5,909,445","4,397,799","1,511,646","23,637,781","23,637,781","25,052,457","(1,414,676)","(1,414,676)"
Procurement,,,,,,,,,,,
Full-Time Positions,46,41,42,37,37,0,42,42,42,0,0
Class 100 Total Oblig./Approp.,"2,450,043","2,402,513","2,519,208","557,463","557,463",0,"2,436,508","2,436,508","2,436,508",0,0
Class 100 Overtime Oblig./Approp.,"8,930","5,647","5,390","1,500","3,338","(1,838)","6,000","6,000","11,854","(5,854)","(5,854)"
Public Health,,,,,,,,,,,
Full-Time Positions,711,752,739,721,721,0,818,818,818,0,0
Class 100 Total Oblig./Approp.,"54,999,157","57,173,653","60,130,461","13,270,099","13,270,099",0,"57,654,465","57,654,465","58,270,680","(616,215)","(616,215)"
Class 100 Overtime Oblig./Approp.,"2,300,499","2,346,586","2,602,722","358,200","504,651","(146,451)","1,432,800","1,432,800","2,109,232","(676,432)","(676,432)"
Public Property,,,,,,,,,,,
Full-Time Positions,135,135,119,143,143,0,176,176,176,0,0
Class 100 Total Oblig./Approp.,"8,797,024","8,875,590","8,610,609","1,968,752","1,968,752",0,"10,101,149","10,101,149","10,101,149",0,0
Class 100 Overtime Oblig./Approp.,"855,977","839,027","800,350","234,444","37,207","197,237","937,774","937,774","611,960","325,814","325,814"
Records,,,,,,,,,,,
Full-Time Positions,57,55,51,50,50,0,55,55,55,0,0
Class 100 Total Oblig./Approp.,"3,004,442","2,983,490","2,995,101","617,545","617,545",0,"3,117,312","3,117,312","3,117,312",0,0
Class 100 Overtime Oblig./Approp.,"80,622","63,145","55,381","9,127",83,"9,044","36,508","36,508","42,559","(6,051)","(6,051)"
