0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
General Support,,,,,,,,
Full-Time Positions,69,67,52,60,60,53,7,7
Class 100 Total Oblig./Approp.,"4,100,439","3,778,397","2,673,184","2,852,472","2,852,472","2,852,472",0,0
Class 100 Overtime Oblig./Approp.,"61,125","103,913","69,212","44,590","65,942","45,887","(1,297)","20,055"
Streets-Sanitation,,,,,,,,
Full-Time Positions,"1,183","1,170","1,179","1,228","1,228","1,157",71,71
Class 100 Total Oblig./Approp.,"47,484,458","47,455,599","45,985,953","45,145,923","45,145,923","44,645,923","500,000","500,000"
Class 100 Overtime Oblig./Approp.,"6,016,377","9,147,087","7,301,880","5,864,576","6,252,006","7,940,735","(2,076,159)","(1,688,729)"
Youth Commission,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"30,073","39,347","47,000","50,000","50,000","50,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Zoning Board of Adjustment,,,,,,,,
Full-Time Positions,5,5,5,5,5,5,0,0
Class 100 Total Oblig./Approp.,"316,341","274,892","299,145","320,960","320,960","320,960",0,0
Class 100 Overtime Oblig./Approp.,0,0,"1,994",0,0,12,(12),(12)
Zoning Code Commission,,,,,,,,
Full-Time Positions,1,2,2,2,0,0,2,0
Class 100 Total Oblig./Approp.,"43,424","127,639","150,000","122,500","122,500","122,500",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
