0,1,2,3,4,5,6,7,8
,,,,,,FY 2019 FULL YEAR,,
Department/ Category,FY 16 Year End,FY 17 Year End,FY 18 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"150,173","161,212","163,743","167,462","170,997","170,997","(3,535)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Commerce,,,,,,,,
Full-Time Positions,34,28,31,32,52,48,(16),4
Class 100 Total Oblig./Approp.,"2,351,610","2,393,155","2,114,325","2,120,079","3,044,944","3,044,944","(924,865)",0
Class 100 Overtime Oblig./Approp.,"1,717",914,"1,176",0,100,"5,300","(5,300)","(5,200)"
District Attorney,,,,,,,,
Full-Time Positions,478,492,455,513,513,491,22,22
Class 100 Total Oblig./Approp.,"32,810,833","32,689,069","32,249,281","37,168,476","36,608,378","36,608,378","560,098",0
Class 100 Overtime Oblig./Approp.*,"156,060","54,772","52,297","100,000","105,644","155,000","(55,000)","(49,356)"
* a portion of D.A. OT is transferred to the Grants,Fd,,,,,,,
Finance,,,,,,,,
Full-Time Positions,165,111,115,123,123,116,7,7
Class 100 Total Oblig./Approp.,"8,230,613","6,669,543","6,963,917","7,765,535","8,044,694","8,044,694","(279,159)",0
Class 100 Overtime Oblig./Approp.,"28,879","18,057","45,510","34,475","34,475","74,000","(39,525)","(39,525)"
Finance Reg #32 Disability,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,588,806","1,987,825","2,556,892","2,650,000","2,650,000","2,650,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Fire,,,,,,,,
Full-Time Positions,"2,316","2,281","2,511","2,672","2,672","2,530",142,142
Class 100 Total Oblig./Approp.,"219,101,252","214,434,520","244,026,657","263,307,745","280,369,652","280,369,652","(17,061,907)",0
Class 100 Overtime Oblig./Approp.,"37,417,517","25,016,458","36,673,566","28,393,506","51,040,245","50,918,000","(22,524,494)","122,245"
First Judicial District,,,,,,,,
Full-Time Positions,"1,839","1,856","1,867","1,841","1,856","1,842",(1),14
Class 100 Total Oblig./Approp.,"97,017,514","94,649,818","98,343,914","98,844,666","102,019,947","102,019,947","(3,175,281)",0
Class 100 Overtime Oblig./Approp.,"426,210","7,095","25,034","94,840","14,840","24,000","70,840","(9,160)"
Fleet Management,,,,,,,,
Full-Time Positions,263,270,281,306,306,286,20,20
Class 100 Total Oblig./Approp.,"17,275,918","16,491,089","17,532,835","18,539,450","18,703,682","18,703,682","(164,232)",0
Class 100 Overtime Oblig./Approp.,"3,253,678","2,126,729","2,249,940","1,952,606","2,453,199","2,405,000","(452,394)","48,199"
Free Library,,,,,,,,
Full-Time Positions,636,643,649,692,692,651,41,41
Class 100 Total Oblig./Approp.,"34,808,182","35,905,717","36,929,841","36,659,781","37,639,135","37,639,135","(979,354)",0
Class 100 Overtime Oblig./Approp.,"1,672,235","1,762,275","1,576,070","1,343,781","1,543,781","1,685,000","(341,219)","(141,219)"
