0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department / Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Administration & Management,,,,,,,,
Full-Time Positions,230,221,226,114,117,117,(3),0
Class 100 Total Oblig./Approp.,"10,711,574","11,388,487","10,607,301","9,083,270","5,273,689","5,273,689","3,809,581",0
Class 100 Overtime Oblig./Approp.,"261,148","394,805","415,314","83,928","522,301","522,301","(438,373)",0
Performance Mgmt. & Accountability,,,,,,,,
Full-Time Positions,52,95,91,29,30,30,(1),0
Class 100 Total Oblig./Approp.,"3,017,163","5,128,111","5,451,406","566,947","1,696,540","1,696,540","(1,129,593)",0
Class 100 Overtime Oblig./Approp.,"48,676","105,715","88,151","101,516","43,024","43,024","58,492",0
Juvenile Justice Services,,,,,,,,
Full-Time Positions,310,303,289,147,151,151,(4),0
Class 100 Total Oblig./Approp.,"17,908,528","15,941,108","15,952,651","3,304,382","7,327,712","7,327,712","(4,023,330)",o
Class 100 Overtime Oblig./Approp.,"4,265,486","2,834,994","3,294,570","3,130,169","1,050,730","1,050,730","2,079,439",0
Children & Youth,,,,,,,,
Full-Time Positions,"1,070","1,056",988,481,469,469,12,0
Class 100 Total Oblig./Approp.,"60,311,640","56,241,981","55,556,408","26,742,535","23,744,169","23,744,169","2,998,366",0
Class 100 Overtime Oblig./Approp.,"3,710,311","3,617,981","4,741,853","1,544,390","2,351,600","2,351,600","(807,210)",o
Community Based Prevention Services,,,,,,,,
Full-Time Positions,79,76,74,36,37,37,(1),o
Class 100 Total Oblig./Approp.,"6,447,086","5,410,697","5,413,375","2,595,410","2,450,434","2,450,434","144,976",0
Class 100 Overtime Oblig./Approp.,"288,304","183,667","147,699","67,737","42,689","42,689","25,048",0
