0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Sheriff,,,,,,,,,,,
Full-Time Positions,355,385,367,360,360,0,428,428,428,0,0
Class 100 Total Oblig./Approp.,"27,638,571","28,049,726","26,258,562","5,608,601","5,608,601",0,"25,192,450","25,192,450","25,192,450",0,0
Class 100 Overtime Oblig./Approp.,"6,163,832","4,797,577","2,799,955","671,261","794,155","(122,894)","2,685,042","2,685,042","3,135,042","(450,000)","(450,000)"
Streets,,,,,,,,,,,
Full-Time Positions,"1,736","1,925","1,941","2,025","2,025",0,"2,045","2,045","2,134",(89),(89)
Class 100 Total Oblig./Approp.,"83,603,511","90,344,142","88,868,951","25,673,038","25,673,038",0,"90,986,330","90,986,330","91,910,110","(923,780)","(923,780)"
Class 100 Overtime Oblig./Approp.,"15,557,607","15,039,549","16,469,836","2,938,127","4,805,065","(1,866,938)","11,752,509","11,752,509","11,752,509",0,0
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"22,210","22,422","21,630","21,523","21,548",(25),"24,438","24,438","24,046",392,392
Class 100 Total Oblig./Approp.,"1,749,789,358","1,874,182,010","1,811,423,186","395,531,095","395,531,095",0,"1,888,766,172","1,888,766,172","1,879,796,243","8,969,929","8,969,929"
Class 100 Overtime Oblig./Approp.,"176,564,791","208,034,045","185,591,876","46,446,673","48,290,695","(1,844,022)","185,786,679","185,786,679","185,413,396","373,284","373,284"
