0,1,2,3,4,5,6,7,8
,,,,,,FY 2019 FULL YEAR,,
Department/ Category,FY 16 Year End,FY 17 Year End,FY 18 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Managing Director,,,,,,,,
Full-Time Positions,258,296,307,312,321,307,5,14
Class 100 Total Oblig./Approp.,"17,601,829","18,885,758","20,292,249","20,339,262","21,610,475","21,610,475","(1,271,213)",0
Class 100 Overtime Oblig./Approp.,"537,197","444,040","471,245","360,000","468,573","482,000","(122,000)","(13,427)"
Mayor's Office,,,,,,,,
Full-Time Positions,48,42,41,53,54,51,2,3
Class 100 Total Oblig./Approp.,"3,960,415","3,647,357","3,487,719","4,605,862","4,817,851","4,817,851","(211,989)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,
Full-Time Positions,0,0,2,0,0,0,0,0
Class 100 Total Oblig./Approp.,"90,000","90,000","233,263","90,000","90,000","90,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Mayor's Office of Transportation and Utilities,,,,,,,,
Full-Time Positions,8,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"473,894",0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,131,0,0,0,0,0,0,0
Mural Arts Program,,,,,,,,
Full-Time Positions,11,10,11,12,12,11,1,1
Class 100 Total Oblig./Approp.,"495,213","528,228","545,525","583,401","598,987","598,987","(15,586)",0
Class 100 Overtime Oblig./Approp.,"13,832","14,905","28,588","13,864","19,000","16,500","(2,636)","2,500"
Office of Arts and Culture,,,,,,,,
Full-Time Positions,2,4,5,5,8,7,(2),1
Class 100 Total Oblig./Approp.,"308,789","236,770","274,563","312,767","475,752","475,752","(162,985)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,40,(40),(40)
Office of Behavioral Health and Intellectual disAbility,,,,,,,,
Full-Time Positions,16,16,16,16,19,16,0,3
Class 100 Total Oblig./Approp.,"995,153","1,006,269","1,558,164","1,076,779","1,596,553","1,596,553","(519,774)",0
Class 100 Overtime Oblig./Approp.,"5,195","9,922","6,737","6,000","6,000","7,000","(1,000)","(1,000)"
Office of the Chief Administrative Officer,,,,,,,,
Full-Time Positions,0,55,58,64,63,56,8,7
Class 100 Total Oblig./Approp.,0,"3,830,324","4,045,694","4,137,615","4,187,271","4,187,271","(49,656)",0
Class 100 Overtime Oblig./Approp.,0,"6,608","54,046","10,000","25,798","22,000","(12,000)","3,798"
Office of Education,,,,,,,,
Full-Time Positions,0,32,33,36,36,32,4,4
Class 100 Total Oblig./Approp.,0,"1,933,963","2,215,607","2,592,084","2,655,579","2,655,579","(63,495)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
