0,1,2,3,4,5,6,7,8
,,,,,,FY 2022 FULL YEAR,,
Department/ Category,FY 19 Year End,FY 20 Year End,FY 21,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Auditing,,,,,,,,
Full-Time Positions,124,121,118,135,135,109,26,26
Class 100 Total Oblig./Approp.,"8,650,965","9,466,389","9,311,029","9,330,839","9,785,988","9,785,988","(455,149)",0
Class 100 Overtime Oblig./Approp.,"73,243","60,388","39,619","80,000","60,000","58,666","21,334","1,334"
Board of Ethics,,,,,,,,
Full-Time Positions,10,7,9,10,10,9,1,1
Class 100 Total Oblig./Approp.,"875,033","922,164","801,988","915,196","938,750","938,750","(23,554)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,
Full-Time Positions,11,14,15,16,16,14,2,2
Class 100 Total Oblig./Approp.,"928,286","1,044,789","1,002,561","997,835","1,019,348","1,019,348","(21,513)",0
Class 100 Overtime Oblig./Approp.,190,"1,967",45,0,"3,000","1,801","(1,801)","1,199"
City Commissioners,,,,,,,,
Full-Time Positions,94,98,137,106,106,134,(28),(28)
Class 100 Total Oblig./Approp.,"5,830,533","7,075,077","8,293,480","8,413,534","10,936,150","10,936,150","(2,522,616)",0
Class 100 Overtime Oblig./Approp.,"1,033,718","1,592,963","1,531,588","1,053,337","1,053,337","1,230,728","(177,391)","(177,391)"
City Council,,,,,,,,
Full-Time Positions,197,180,182,188,188,175,13,13
Class 100 Total Oblig./Approp.,"14,104,805","14,433,197","14,051,449","15,627,138","15,853,058","15,853,058","(225,920)",0
Class 100 Overtime Oblig./Approp.,"2,882",0,245,0,0,0,0,0
City Representative,,,,,,,,
Full-Time Positions,8,5,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"714,833","683,372",0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"2,239",0,0,0,0,0,0,0
City Treasurer,,,,,,,,
Full-Time Positions,16,16,16,18,18,17,1,1
Class 100 Total Oblig./Approp.,"1,098,380","1,268,936","1,230,203","1,395,075","1,447,348","1,447,348","(52,273)",0
Class 100 Overtime Oblig./Approp.,"3,927","8,586","56,626","10,000","62,068","66,607","(56,607)","(4,539)"
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,1,2,2,2,0,0
Class 100 Total Oblig./Approp.,"168,597","160,826","140,533","177,148","179,944","179,944","(2,796)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Commerce,,,,,,,,
Full-Time Positions,48,44,37,51,51,35,16,16
Class 100 Total Oblig y./Approp.,"3,028,159","3,453,180","2,499,341","3,614,341","3,681,294","3,681,294","(66,953)",0
Class 100 Overtime Oblig./Approp.,"5,257","6,816",0,"10,000",0,0,"10,000",0
