0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department/Category,FY 20 Year End,FY 21 Year End,FY 22,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,317,313,300,322,322,0,397,368,368,29,0
Class 100 Total Oblig./Approp.,"24,148,702","24,142,550","25,739,873","19,662,387","19,662,387",0,"32,794,019","31,864,019","32,041,960","752,059","(177,941)"
Class 100 Overtime Oblig./Approp.,"486,875","350,274","579,803","538,617","559,029","(20,412)","511,155","718,155","718,155","(207,000)",0
OIT-Base,,,,,,,,,,,
Full-Time Positions,301,299,288,307,307,0,380,352,352,28,0
Class 100 Total Oblig./Approp.,"22,772,627","22,946,742","24,553,231","18,653,213","18,653,213",0,"31,377,472","30,447,472","30,625,413","752,059","(177,941)"
Class 100 Overtime Oblig./Approp.,"448,945","314,614","523,830","487,052","504,947","(17,895)","474,402","649,402","649,402","(175,000)",0
OIT-911,,,,,,,,,,,
Full-Time Positions,16,14,12,15,15,0,17,16,16,1,0
Class 100 Total Oblig./Approp.,"1,376,075","1,195,808","1,186,642","1,009,174","1,009,174",0,"1,416,547","1,416,547","1,416,547",0,0
Class 100 Overtime Oblig./Approp.,"37,930","35,660","55,973","51,565","54,082","(2,517)","36,753","68,753","68,753","(32,000)",0
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,16,18,16,16,16,0,26,26,26,0,0
Class 100 Total Oblig./Approp.,"1,397,115","1,283,300","1,414,649","1,066,492","1,066,492",0,"2,192,863","2,192,863","2,204,194","(11,331)","(11,331)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,195,190,177,177,177,0,225,225,225,0,0
Class 100 Total Oblig./Approp.,"13,142,246","13,393,546","13,638,652","9,570,663","9,570,663",0,"15,569,756","15,569,756","15,578,357","(8,601)","(8,601)"
Class 100 Overtime Oblig./Approp.,"73,955","42,002","107,053","105,000","93,383","11,617","140,000","140,000","140,000",0,0
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,7,8,11,17,17,0,15,17,17,(2),0
Class 100 Total Oblig./Approp.,"566,858","484,422","842,041","759,660","759,660",0,"971,635","1,141,635","1,149,701","(178,066)","(8,066)"
Class 100 Overtime Oblig./Approp.,79,0,480,0,23,(23),0,0,75,(75),(75)
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,647,644,613,619,619,0,787,751,751,36,0
Class 100 Total Oblig./Approp.,"50,465,519","42,876,919","51,586,651","41,512,180","41,512,180",0,"61,031,936","59,148,936","59,175,651","1,856,285","(26,715)"
Class 100 Overtime Oblig./Approp.,"3,182,453","2,083,704","4,101,277","4,896,300","3,603,131","1,293,169","4,328,400","6,528,400","6,528,400","(2,200,000)",0
