0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2008,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 05 Year End,FY 06 Year End,FY 07 Year End,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budgt.,Budget,Budget,Projection,Adopted Budget,Target Budget
Traffic Engineering,,,,,,,,,,,
Full-Time Positions,95,83,90,96,88,8,96,96,88,8,8
Class 100 Total oblig./Approp.,"1,576,557","2,423,746","2,620,818","2,439,821","2,968,556","(528,735)","2,439,821","2,439,821","2,439,821",o,0
Class 100 Overtime Oblig./Approp.,"256,200","290,327","188,800","240,000","350,988","(110,988)","240,000","240,000","350,988","(110,988)","(110,988)"
General Support,,,,,,,,,,,
Full-Time Positions,84,77,80,84,77,7,84,84,77,7,7
Class 100 Total Oblig./Approp.,"4,291,237","3,912,981","4,139,103","4,248,887","4,100,281","148,606","4,248,887","4,248,887","4,248,887",o,o
Class 100 Overtime Oblig./Approp.,"76,305","87,645","120,160","55,000","74,339","(19,339)","55,000","55,000","74,339","(19,339)","145,666"
Streets-Sanitation,,,,,,,,,,,
Full-Time Positions,"1,249","1,263","1,222","1,276","1,248",28,"1,276","1,276","1,248",28,28
Class 100 Total Oblig./Approp.,"46,095,894","44,638,454","44,468,301","46,449,179","46,449,179",0,"46,449,179","46,449,179","46,449,179",0,0
Class 100 Overtime Oblig./Approp.,"5,364,570","6,369,959","5,722,009","5,600,000","6,295,977","(695,977)","5,600,000","5,600,000","6,295,977","(695,977)","(695,977)"
Zoning Board of Adjustment,,,,,,,,,,,
Full-Time Positions,5,5,4,5,5,0,5,5,5,0,0
Class 100 Total Oblig./Approp.,"375,163","363,138","350,156","402,272","402,272",0,"402,272","402,272","402,272",0,0
Class 100 Overtime Oblig./Approp.,62,101,"1,344","15,739","1,577","14,162",0,"15,739","1,577","(1,577)","14,162"
Zoning Code Commission,,,,,,,,,,,
Full-Time Positions,0,0,0,o,0,0,0,0,0,0,0
Class 100 Total Oblig ./Approp.,0,0,0,"160,000","160,000",0,0,"160,000","160,000","(160,000)",0
Class 100 Overtime Oblig ./Approp.,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
TOTAL GENERAL FUND Full-Time Positions,"22,889","22,832","23,050","23,885","23,111",774,"23,987","23,865","23,111",876,754
Class 100 Total Oblig./Approp.,"1,243,503,776","1,250,221,078","1,327,588,620","1,382,321,493","1,378,191,875","4,129,618","1,375,787,398","1,382,321,493","1,381,242,001","(5,454,603)","1,079,492"
Class 100 Overtime Oblig./Approp.,"109,035,610","125,599,670","149,371,996","138,694,269","161,244,855","(22,550,586)","114,924,848","138,694,269","161,244,855","(46,320,007)","(22,550,586)"
