0,1,2,3,4,5,6,7,8
,,,,,,FY 2016 FULL YEAR,,
Department/ Category,FY 13 Year End,FY 14 Year End,FY 15 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Atwater Kent Museum,,,,,,,,
Full-Time Positions,4,3,2,4,4,3,1,1
Class 100 Total Oblig./Approp.,"220,143","227,307","180,906","243,498","243,498","243,498",0,0
Class 100 Overtime Oblig./Approp.,"1,937","2,333","2,530","2,843","2,843","2,687",156,156
Auditing,,,,,,,,
Full-Time Positions,118,111,129,140,140,137,3,3
Class 100 Total Oblig./Approp.,"6,475,510","7,070,173","7,599,194","7,772,885","8,192,885","8,192,885","(420,000)",0
Class 100 Overtime Oblig./Approp.,"58,829","65,036","138,581","50,000","75,000","66,941","(16,941)","8,059"
Board of Ethics,,,,,,,,
Full-Time Positions,8,9,9,12,12,10,2,2
Class 100 Total Oblig./Approp.,"685,698","741,674","843,844","956,989","956,989","956,989",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,
Full-Time Positions,7,11,12,14,14,14,0,0
Class 100 Total Oblig./Approp.,"1,021,653","1,015,351","985,057","819,627","819,627","819,627",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
City Commissioners,,,,,,,,
Full-Time Positions,90,84,91,98,98,92,6,6
Class 100 Total Oblig./Approp.,"5,166,337","4,822,174","5,192,287","5,624,276","5,624,276","5,624,276",0,0
Class 100 Overtime Oblig./Approp.,"1,061,085","863,984","916,270","905,223","1,155,223","1,041,102","(135,879)","114,121"
City Council,,,,,,,,
Full-Time Positions,173,169,176,195,195,187,8,8
Class 100 Total Oblig./Approp.,"11,660,823","11,997,588","12,339,907","14,309,858","14,309,858","14,309,858",0,0
Class 100 Overtime Oblig./Approp.,"5,866",886,"10,351",0,"1,034","20,234","(20,234)","(19,200)"
City Planning Commission,,,,,,,,
Full-Time Positions,31,30,29,32,32,31,1,1
Class 100 Total Oblig./Approp.,"2,137,171","2,192,556","2,176,554","2,309,534","2,309,534","2,309,534",0,0
Class 100 Overtime Oblig./Approp.,0,150,"1,055",0,0,0,0,0
City Representative,,,,,,,,
Full-Time Positions,8,7,6,7,8,7,0,1
Class 100 Total Oblig./Approp.,"416,871","400,499","417,223","418,201","468,201","468,201","(50,000)",0
Class 100 Overtime Oblig./Approp.,"2,190","2,953","8,737",0,"7,500","7,828","(7,828)",(328)
City Treasurer,,,,,,,,
Full-Time Positions,13,14,14,16,16,15,1,1
Class 100 Total Oblig./Approp.,"755,428","785,368","802,019","985,689","985,689","985,689",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,500,"1,049","(1,049)",(549)
