0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,317,313,300,315,315,0,397,397,393,4,4
Class 100 Total Oblig./Approp.,"24,148,702","24,142,550","25,739,873","5,766,012","5,766,012",0,"32,794,019","32,794,019","31,864,019","930,000","930,000"
Class 100 Overtime Oblig./Approp.,"486,875","350,274","579,803","127,789","171,450","(43,661)","511,155","511,155","685,155","(174,000)","(174,000)"
OIT-Base,,,,,,,,,,,
Full-Time Positions,301,299,288,300,300,0,380,380,377,3,3
Class 100 Total Oblig./Approp.,"22,772,627","22,946,742","24,553,231","5,489,953","5,489,953",0,"31,377,472","31,377,472","30,447,472","930,000","930,000"
Class 100 Overtime Oblig./Approp.,"448,945","314,614","523,830","118,601","152,221","(33,620)","474,402","474,402","629,402","(155,000)","(155,000)"
OIT-911,,,,,,,,,,,
Full-Time Positions,16,14,12,15,15,0,17,17,16,1,1
Class 100 Total Oblig./Approp.,"1,376,075","1,195,808","1,186,642","276,059","276,059",0,"1,416,547","1,416,547","1,416,547",0,0
Class 100 Overtime Oblig./Approp.,"37,930","35,660","55,973","9,188","19,229","(10,041)","36,753","36,753","55,753","(19,000)","(19,000)"
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,16,18,16,15,15,0,26,26,26,0,0
Class 100 Total Oblig./Approp.,"1,397,115","1,283,300","1,414,649","307,808","307,808",0,"2,192,863","2,192,863","2,192,863",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,195,190,177,173,173,0,225,225,225,0,0
Class 100 Total Oblig./Approp.,"13,142,246","13,393,546","13,638,652","2,872,026","2,872,026",0,"15,569,756","15,569,756","15,569,756",0,0
Class 100 Overtime Oblig./Approp.,"73,955","42,002","107,053","35,000","3,186","31,814","140,000","140,000","140,000",0,0
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,7,8,11,11,11,0,15,15,17,(2),(2)
Class 100 Total Oblig./Approp.,"566,858","484,422","842,041","251,671","251,671",0,"971,635","971,635","1,141,635","(170,000)","(170,000)"
Class 100 Overtime Oblig./Approp.,79,0,480,0,0,0,0,0,0,0,0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,647,644,613,623,623,0,787,787,851,(64),(64)
Class 100 Total Oblig./Approp.,"50,465,519","42,876,919","51,586,651","15,482,891","15,482,891",0,"61,031,936","61,031,936","59,148,936","1,883,000","1,883,000"
Class 100 Overtime Oblig./Approp.,"3,182,453","2,083,704","4,101,277","1,082,100","1,766,891","(684,791)","4,328,400","4,328,400","6,528,400","(2,200,000)","(2,200,000)"
