0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR FULL YEAR,2011,
Department/ Category,FY 08 Year End Actual,FY 09 Year End Actual,FY 10 Year End Actual,Adopted Budget,Original Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Atwater Kent Museum,,,,,,,,
Full-Time Positions,4,4,4,4,4,4,0,0
Class 100 Total Oblig./Approp.,"256,702","225,971","248,059","198,630","198,630","183,630","15,000","15,000"
Class 100 Overtime Oblig./Approp.,"10,197","6,932",82,0,0,874,(874),(874)
Auditing,,,,,,,,
Full-Time Positions,121,124,120,123,122,113,10,9
Class 100 Total Oblig./Approp.,"7,104,935","7,362,568","6,886,798","6,889,116","6,833,602","6,833,602","55,514",0
Class 100 Overtime Oblig./Approp.,"88,306","58,793","43,683",0,0,"36,360","(36,360)","(36,360)"
Board of Building Standards,,,,,,,,
Full-Time Positions,2,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"95,635","91,313","61,224","71,542","71,542","71,542",0,0
Class 100 Overtime Oblig./Approp.,"2,421",596,0,0,0,0,0,0
Board of Ethics,,,,,,,,
Full-Time Positions,6,9,7,9,9,8,1,1
Class 100 Total Oblig./Approp.,"378,707","677,611","679,563","681,100","681,100","681,100",0,0
Class 100 Overtime Oblig./Approp.,0,o,0,0,0,0,0,0
Board of L & I Review,,,,,,,,
Full-Time Positions,3,2,2,2,2,2,o,o
Class 100 Total Oblig./Approp.,"196,609","194,190","120,849","140,645","140,645","140,645",0,0
Class 100 Overtime Oblig./Approp.,690,0,0,0,0,952,(952),(952)
Bd. of Revision of Taxes,,,,,,,,
Full-Time Positions,139,133,112,110,7,8,102,(1)
Class 100 Total Oblig./Approp.,"7,861,365","7,914,757","7,074,332","6,135,579","6,135,579","2,048,417","4,087,162","4,087,162"
Class 100 Overtime Oblig./Approp.,"29,048","9,591",0,0,0,0,0,0
Camp William Penn,,,,,,,,
Full-Time Positions,1,1,1,0,0,0,0,0
Class 100 Total Oblig./Approp.,"238,996","31,822","30,466",0,0,0,o,o
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
