0,1,2,3,4,5,6,7,8
,,,,,,FY 2017 FULL YEAR,,
Department/Category,FY 14 Year End,FY 15 Year End,FY 16 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Human Services,,,,,,,,
Full-Time Positions,382,395,449,410,385,385,25,0
Class 100 Total Oblig./Approp. *,"22,776,786","17,570,666","21,714,429","23,454,344","25,740,699","25,740,699","(2,286,355)",0
Class 100 Overtime Oblig./Approp.,"1,655,062","4,532,830","1,523,769","3,082,274","2,432,274","2,432,274","650,000",0
*DHS expenses are transferred from the Grants Administration & Management,,,,,,,,
Full-Time Positions,19,113,117,105,100,100,5,0
Class 100 Total Oblig./Approp.,"4,586,721","4,247,179","6,513,969","6,039,119","5,533,051","5,533,051","506,068",0
Class 100 Overtime Oblig./Approp.,"132,667","470,495","188,197","283,118","283,118","283,118",0,0
Performance Mgmt. & Accountability,,,,,,,,
Full-Time Positions,7,21,25,25,25,25,0,0
Class 100 Total Oblig./Approp.,"904,697","554,135","1,345,385","1,399,515","1,399,515","1,399,515",0,0
Class 100 Overtime Oblig./Approp.,"9,098","27,395","22,693","23,386","23,386","23,386",0,0
Juvenile Justice Services,,,,,,,,
Full-Time Positions,56,131,165,150,150,150,0,0
Class 100 Total Oblig./Approp.,"7,194,415","6,882,864","7,391,404","8,918,181","8,918,181","8,918,181",0,0
Class 100 Overtime Oblig./Approp.,"937,095","1,997,565","1,272,206","1,852,089","1,427,089","1,427,089","425,000",0
Children & Youth,,,,,,,,
Full-Time Positions,300,130,142,130,110,110,20,0
Class 100 Total Oblig./Approp.,"10,090,953","5,886,488","6,463,671","7,097,529","9,889,952","9,889,952","(2,792,423)",0
Class 100 Overtime Oblig./Approp.,"576,202","2,037,375","40,673","923,681","698,681","698,681","225,000",0
Labor,,,,,,,,
Full-Time Positions,7,7,7,16,16,17,(1),(1)
Class 100 Total Oblig./Approp.,"468,177","657,403","496,053","1,082,792","1,072,792","1,072,792","10,000",0
Class 100 Overtime Oblig./Approp.,"6,253","3,289",0,"23,604","23,604",0,"23,604","23,604"
Law,,,,,,,,
Full-Time Positions,146,152,126,153,138,124,29,14
Class 100 Total Oblig./Approp.,"6,683,364","6,952,307","7,405,269","7,934,005","8,100,743","8,100,743","(166,738)",0
Class 100 Overtime Oblig./Approp.,47,70,99,"5,000","5,000",0,"5,000","5,000"
Licenses & Inspections,,,,,,,,
Full-Time Positions,296,335,335,411,386,347,64,39
Class 100 Total Oblig./Approp.,"15,002,935","17,339,944","18,606,512","21,272,576","21,001,380","21,001,380","271,196",0
Class 100 Overtime Oblig./Approp.,"900,347","1,510,382","1,812,827","845,000","1,445,000","1,565,000","(720,000)","(120,000)"
L&I-Board of Building Standards,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"62,431","63,025","67,890","75,419","75,419","75,419",0,0
Class 100 Overtime Oblig./Approp.,348,417,220,0,250,120,(120),130
L&I-Board of L & I Review,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"125,229","127,421","139,762","159,201","160,759","160,759","(1,558)",0
Class 100 Overtime Oblig./Approp.,377,"2,364","1,788",0,"1,000","1,150","(1,150)",(150)
