0,1,2,3,4,5,6,7,8
,,,,,,FY 2017 FULL YEAR,,
Department/Category,FY 14 Year End,FY 15 Year End,FY 16 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Sheriff,,,,,,,,
Full-Time Positions,277,299,330,380,360,367,13,(7)
Class 100 Total Oblig./Approp.,"17,091,441","20,317,966","22,280,203","19,008,101","23,527,316","23,527,316","(4,519,215)",0
Class 100 Overtime Oblig./Approp.,"3,235,305","4,744,360","5,677,451","2,276,185","5,276,185","5,750,000","(3,473,815)","(473,815)"
Streets,,,,,,,,
Full-Time Positions,"1,684","1,664","1,676","1,801","1,761","1,679",122,82
Class 100 Total Oblig./Approp.,"70,707,563","80,482,323","76,874,569","72,707,604","75,383,679","75,383,679","(2,676,075)",0
Class 100 Overtime Oblig./Approp.,"13,176,799","15,326,601","14,565,821","7,816,801","13,816,801","13,950,000","(6,133,199)","(133,199)"
Sanitation,,,,,,,,
Full-Time Positions,"1,153","1,146","1,145","1,240","1,210","1,148",92,62
Class 100 Total Oblig./Approp.,"48,199,455","55,027,146","52,167,696","50,068,852","52,943,925","52,943,925","(2,875,073)",0
Class 100 Overtime Oblig./Approp.,"10,112,454","12,583,219","11,290,393","5,896,536","10,896,536","10,729,735","(4,833,199)","166,801"
Transportation,,,,,,,,
Full-Time Positions,531,518,531,561,551,531,30,20
Class 100 Total Oblig./Approp.,"22,508,108","25,455,177","24,706,873","22,638,752","22,439,754","22,439,754","198,998",0
Class 100 Overtime Oblig./Approp.,"3,064,345","2,743,382","3,275,428","1,920,265","2,920,265","3,220,265","(1,300,000)","(300,000)"
Youth Commission,,,,,,,,
Full-Time Positions,2,2,1,0,0,0,0,0
Class 100 Total Oblig./Approp.,"72,688","67,175","92,488",0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
,,,,,,,,
TOTAL GENERAL FUND Full-Time Positions,"20,991","21,166","21,427","22,796","22,562","21,656","1,140",906
Class 100 Total Oblig./Approp.,"1,450,615,388","1,508,678,147","1,562,629,197","1,565,831,450","1,590,846,718","1,590,846,718","(25,015,268)",0
Class 100 Overtime Oblig./Approp.,"151,506,720","160,340,939","170,783,318","129,321,407","160,278,407","160,326,812","(31,005,405)","(48,405)"
