0,1,2,3,4,5,6,7,8
,,,,,,FY 2022 FULL YEAR,,
Department/ Category,FY 19 Year End,FY 20 Year End,FY 21,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Parks and Recreation,,,,,,,,
Full-Time Positions,647,647,644,763,763,613,150,150
Class 100 Total Oblig./Approp.,"48,579,951","50,465,519","42,876,919","52,352,786","53,257,946","53,257,946","(905,160)",0
Class 100 Overtime Oblig./Approp.,"3,538,131","3,182,453","2,083,704","3,116,670","3,416,670","4,105,989","(989,319)","(689,319)"
Planning and Development,,,,,,,,
Full-Time Positions,56,55,55,62,62,54,8,8
Class 100 Total Oblig./Approp.,"4,695,950","4,778,297","4,510,200","4,873,604","5,228,518","5,228,518","(354,914)",0
Class 100 Overtime Oblig./Approp.,"14,817","13,575","9,507",0,"24,482","22,401","(22,401)","2,081"
Police,,,,,,,,
Full-Time Positions,"7,241","7,175","6,869","7,304","7,304","6,651",653,653
Class 100 Total Oblig./Approp.,"685,445,815","736,072,678","708,324,818","704,349,409","731,221,929","731,221,929","(26,872,520)",0
Class 100 Overtime Oblig./Approp.*,"61,647,723","78,667,457","64,896,010","60,033,425","72,833,425","75,904,737","(15,871,312)","(3,071,312)"
Prisons,,,,,,,,
Full-Time Positions,"2,130","1,975","1,620","2,186","2,186","1,393",793,793
Class 100 Total Oblig./Approp.,"138,537,912","137,253,128","118,472,913","132,739,167","133,890,594","133,890,594","(1,151,427)",0
Class 100 Overtime Oblig./Approp.,"24,169,020","26,918,548","24,602,298","23,725,100","26,225,100","29,907,097","(6,181,997)","(3,681,997)"
Procurement,,,,,,,,
Full-Time Positions,41,42,35,42,42,35,7,7
Class 100 Total Oblig./Approp.,"2,402,513","2,519,208","2,434,690","2,648,235","2,777,733","2,777,733","(129,498)",0
Class 100 Overtime Oblig./Approp.,"5,647","5,390","11,124",0,"2,000","1,962","(1,962)",38
Public Health,,,,,,,,
Full-Time Positions,752,739,716,822,822,689,133,133
Class 100 Total Oblig./Approp.,"57,173,653","60,130,461","58,289,725","59,267,291","61,762,283","61,762,283","(2,494,992)",0
Class 100 Overtime Oblig./Approp.,"2,346,586","2,602,722","2,319,808","2,505,544","2,255,544","2,428,321","77,223","(172,777)"
Public Property,,,,,,,,
Full-Time Positions,135,119,142,156,156,133,23,23
Class 100 Total Oblig./Approp.,"8,875,590","8,610,609","9,847,147","10,098,527","10,548,425","10,548,425","(449,898)",0
Class 100 Overtime Oblig./Approp.,"839,027","800,350","195,014","230,414","240,414","232,651","(2,237)","7,763"
Records,,,,,,,,
Full-Time Positions,55,51,51,54,58,54,0,4
Class 100 Total Oblig./Approp.,"2,983,490","2,995,101","2,823,021","3,009,970","3,259,750","3,259,750","(249,780)",0
Class 100 Overtime Oblig./Approp.,"63,145","55,381","65,664","37,456","273,656","282,392","(244,936)","(8,736)"
Register of Wills,,,,,,,,
Full-Time Positions,70,66,70,71,71,67,4,4
Class 100 Total Oblig./Approp.,"4,262,942","4,523,524","4,174,663","3,956,193","4,101,028","4,101,028","(144,835)",0
Class 100 Overtime Oblig./Approp.,"1,488",399,231,0,"6,000","5,641","(5,641)",359
Revenue,,,,,,,,
Full-Time Positions,405,402,386,399,399,328,71,71
Class 100 Total Oblig./Approp.,"22,700,386","23,489,160","22,277,095","20,380,548","21,518,547","21,518,547","(1,137,999)",0
Class 100 Overtime Oblig./Approp.,"367,414","295,650","85,746","300,000","200,000","339,671","(39,671)","(139,671)"
