0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End,FY 20 Year End,FY 21,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Fleet Services,,,,,,,,,,,
Full-Time Positions,286,282,268,261,261,0,315,315,315,0,0
Class 100 Total Oblig./Approp.,"18,501,080","18,563,332","17,982,245","12,677,612","12,677,612",0,"19,260,680","20,150,027","20,150,027","(889,347)",0
Class 100 Overtime Oblig./Approp.,"2,406,919","1,679,115","1,413,920","1,222,371","1,304,500","(82,129)","1,629,828","1,629,828","1,929,828","(300,000)","(300,000)"
Free Library,,,,,,,,,,,
Full-Time Positions,651,677,634,620,620,0,715,715,715,0,0
Class 100 Total Oblig./Approp.,"38,004,616","41,221,658","36,056,416","26,593,336","26,593,336",0,"38,171,857","41,456,287","41,456,287","(3,284,430)",0
Class 100 Overtime Oblig./Approp.,"1,667,956","1,646,292","325,884","410,250","335,803","74,447","1,885,000","547,000","547,000","1,338,000",0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,34,32,31,31,0,33,33,33,0,0
Class 100 Total Oblig./Approp.,"2,071,428","2,286,672","2,267,083","1,644,449","1,644,449",0,"2,325,040","2,463,907","2,463,907","(138,867)",0
Class 100 Overtime Oblig./Approp.,0,23,"4,569",0,"16,392","(16,392)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,396,437,492,492,492,0,492,492,492,0,0
Class 100 Total Oblig./Approp. *,"22,738,842","22,404,173","28,025,714","17,025,748","17,025,748",0,"32,182,866","34,254,330","34,254,330","(2,071,464)",0
Class 100 Overtime Oblig./Approp.,"2,644,765","2,993,692","3,324,490","2,841,776","2,141,960","699,816","3,789,034","3,789,034","3,789,034",0,0
Labor,,,,,,,,,,,
Full-Time Positions,22,27,26,25,25,0,39,37,37,2,0
Class 100 Total Oblig./Approp.,"1,586,766","1,945,732","1,991,712","1,580,565","1,580,565",0,"2,939,422","2,884,257","2,884,257","55,165",0
Class 100 Overtime Oblig./Approp.,274,986,59,"4,463","6,336","(1,873)","35,950","5,950","8,950","27,000","(3,000)"
Law,,,,,,,,,,,
Full-Time Positions,128,130,127,171,171,0,180,180,180,0,0
Class 100 Total Oblig./Approp.,"8,802,032","9,733,493","9,640,029","9,523,558","9,523,558",0,"13,329,167","13,740,897","13,740,897","(411,730)",0
Class 100 Overtime Oblig./Approp.,72,6,"6,050",0,0,0,0,0,0,0,0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,372,394,372,359,359,0,426,426,426,0,0
Class 100 Total Oblig./Approp.,"23,626,633","24,986,716","24,779,256","17,253,473","17,253,473",0,"24,577,968","25,792,609","25,792,609","(1,214,641)",0
Class 100 Overtime Oblig./Approp.,"1,432,352","1,408,144","845,614","754,660","905,399","(150,739)","1,156,213","1,006,213","1,106,213","50,000","(100,000)"
