0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2008,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/Category,FY 05 Year End Actual,FY 06 Year End Actual,FY 07 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Municipal Court,,,,,,,,,,,
Full-Time Positions,189,184,178,178,188,(10),178,178,188,(10),(10)
Class 100 Total Oblig./Approp.,"7,706,084","7,362,389","7,510,649","7,798,922","7,797,880","1,042","7,798,922","7,798,922","7,798,922",o,o
Class 100 Overtime Oblig./Approp.,"3,578","4,625","4,731","4,524","1,213","3,311","4,524","4,524","1,213","3,311","3,311"
Common Pleas Court,,,,,,,,,,,
Full-Time Positions,"1,446","1,397","1,384","1,360","1,412",(52),"1,360","1,360","1,412",(52),(52)
Class 100 Total Oblig./Approp.,"65,166,396","63,116,916","64,197,873","64,040,913","64,458,285","(417,372)","62,773,913","64,040,913","64,040,913","(1,267,000)",0
Class 100 Overtime Oblig./Approp.,"184,667","311,628","357,860","325,270","183,853","141,417","325,270","325,270","183,853","141,417","141,417"
Court Administrator,,,,,,,,,,,
Full-Time Positions,254,253,246,248,241,7,248,248,241,7,7
Class 100 Total Oblig./Approp.,"13,181,250","12,655,082","12,852,171","13,337,077","13,154,123","182,954","13,337,077","13,337,077","13,337,077",o,o
Class 100 Overtime Oblig./Approp.,"20,851","26,202","29,158","31,200","16,235","14,965","31,200","31,200","16,235","14,965","14,965"
Fleet Management,,,,,,,,,,,
Full-Time Positions,313,313,300,333,307,26,321,329,307,14,22
Class 100 Total Oblig./Approp.,"16,510,174","16,060,639","17,158,282","18,135,192","18,135,192",0,"17,687,192","18,135,192","18,135,192","(448,000)",0
Class 100 Overtime Oblig./Approp.,"2,356,383","2,500,861","2,593,241","3,136,873","3,135,141","1,732","2,214,197","3,136,873","3,135,141","(920,944)","1,732"
Free Library,,,,,,,,,,,
Full-Time Positions,640,732,724,729,713,16,739,729,713,26,16
Class 100 Total Oblig./Approp.,"30,765,441","31,984,257","33,995,130","34,871,920","34,871,920",0,"35,754,920","34,871,920","34,871,920","883,000",0
Class 100 Overtime Oblig./Approp.,"698,385","896,586","1,037,731","1,096,917","1,057,389","39,528","1,129,901","1,096,917","1,057,389","72,512","39,528"
Historical Commission,,,,,,,,,,,
Full-Time Positions,6,5,6,6,6,0,6,6,6,o,0
Class 100 Total Oblig./Approp.,"275,864","251,717","290,833","330,495","330,495",0,"298,743","330,495","330,495","(31,752)",0
Class 100 Overtime Oblig./Approp.,0,"1,598",853,0,o,0,384,0,0,384,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,34,33,35,34,34,0,34,34,34,o,0
Class 100 Total Oblig./Approp.,"2,106,329","1,971,753","2,111,219","2,119,686","2,119,686",0,"2,119,686","2,119,686","2,119,686",0,o
Class 100 Overtime Oblig./Approp.,0,0,341,250,0,250,250,250,0,250,250
