0,1,2,3,4,5,6,7,8
,,,,,,FY 2020 FULL YEAR,,
Department/Category,FY 17 Year End,FY 18 Year End,FY 19 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Sheriff,,,,,,,,
Full-Time Positions,348,364,355,428,428,385,43,43
Class 100 Total Oblig./Approp.,"25,144,829","27,179,518","27,638,571","25,443,537","25,641,941","25,662,295","(218,758)","(20,354)"
Class 100 Overtime Oblig./Approp.,"5,748,984","5,934,927","6,163,832","4,824,927","5,324,927","4,800,000","24,927","524,927"
Streets,,,,,,,,
Full-Time Positions,"1,702","1,738","1,736","1,982","1,982","1,925",57,57
Class 100 Total Oblig./Approp.,"76,897,341","79,636,511","83,603,511","90,464,913","90,993,783","92,207,341","(1,742,428)","(1,213,558)"
Class 100 Overtime Oblig./Approp.,"13,942,643","16,200,539","15,557,607","11,356,042","17,856,042","15,075,000","(3,718,958)","2,781,042"
,,,,,,,,
TOTAL GENERAL FUND Full-Time Positions,"21,610","22,226","22,210","23,774","23,810","22,422","1,352","1,388"
Class 100 Total Oblig./Approp. *,"1,589,003,244","1,690,080,953","1,749,789,358","1,820,084,499","1,878,805,625","1,884,357,055","(63,622,000)","(5,551,430)"
Class 100 Overtime Oblig./Approp. *,"163,245,876","179,380,142","176,564,791","166,561,406","213,990,289","208,454,395","(41,892,989)","5,535,894"
