0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department/Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Auditing,,,,,,,,,,,
Full-Time Positions,121,118,109,107,107,0,135,135,135,0,0
Class 100 Total Oblig./Approp.,"9,466,389","9,311,029","9,523,506","1,956,561","1,956,561",0,"10,285,869","10,285,869","10,285,869",0,0
Class 100 Overtime Oblig./Approp.,"60,388","39,619","58,666","20,000",957,"19,043","80,000","80,000","80,000",0,0
Board of Ethics,,,,,,,,,,,
Full-Time Positions,7,9,9,10,10,0,12,12,12,0,0
Class 100 Total Oblig./Approp.,"922,164","801,988","848,155","196,375","196,375",0,"1,121,902","1,121,902","1,121,902",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,,,,
Full-Time Positions,14,15,14,13,13,0,16,16,16,0,0
Class 100 Total Oblig./Approp.,"1,044,789","1,002,561","988,226","204,845","204,845",0,"1,057,610","1,057,610","1,057,610",0,0
Class 100 Overtime Oblig./Approp.,"1,967",45,"1,801",0,55,(55),0,0,200,(200),(200)
City Commissioners,,,,,,,,,,,
Full-Time Positions,98,137,134,154,154,0,187,187,187,0,0
Class 100 Total Oblig./Approp.,"7,075,077","8,293,480","7,768,164","1,660,699","1,660,699",0,"10,927,174","10,927,174","12,898,896","(1,971,722)","(1,971,722)"
Class 100 Overtime Oblig./Approp.,"1,592,963","1,531,588","1,230,728","370,138","134,465","235,673","1,480,553","1,480,553","1,480,553",0,0
City Council,,,,,,,,,,,
Full-Time Positions,180,182,175,169,169,0,185,185,185,0,0
Class 100 Total Oblig./Approp.,"14,433,197","14,051,449","14,383,873","3,042,500","3,042,500",0,"16,325,560","16,325,560","16,325,560",0,0
Class 100 Overtime Oblig./Approp.,0,245,0,0,0,0,0,0,0,0,0
City Representative,,,,,,,,,,,
Full-Time Positions,5,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"683,372",0,0,0,0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
City Treasurer,,,,,,,,,,,
Full-Time Positions,16,16,17,18,18,0,19,19,20,(1),(1)
Class 100 Total Oblig./Approp.,"1,268,936","1,230,203","1,396,762","315,928","315,928",0,"1,579,598","1,579,598","1,579,598",0,0
Class 100 Overtime Oblig./Approp.,"8,586","56,626","66,607","12,500","15,609","(3,109)","50,000","50,000","50,000",0,0
