0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/ Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,
Full-Time Positions,23,24,23,24,24,18,6,6
Class 100 Total Oblig./Approp.,"1,299,648","1,431,917","1,595,054","1,761,678","1,821,678","1,821,678","(60,000)",0
Class 100 Overtime Oblig./Approp.,0,0,"1,066",0,0,133,(133),(133)
District Attorney,,,,,,,,
Full-Time Positions,441,410,410,422,422,414,8,8
Class 100 Total Oblig./Approp.,"29,456,083","29,075,731","28,386,002","28,907,203","28,907,203","28,907,203",0,0
Class 100 Overtime Oblig./Approp.,"174,690","153,796","208,293","199,990","205,000","278,995","(79,005)","(73,995)"
Fairmount Park,,,,,,,,
Full-Time Positions,159,155,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"8,757,179","8,675,357",0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"1,329,249","1,741,485",0,0,0,0,0,0
Finance,,,,,,,,
Full-Time Positions,143,141,140,146,160,156,(10),4
Class 100 Total Oblig./Approp.,"10,598,489","9,559,489","8,827,172","7,593,274","7,710,574","7,710,574","(117,300)",0
Class 100 Overtime Oblig./Approp.,"14,037","6,222","8,375","10,000","10,000","14,580","(4,580)","(4,580)"
Fire,,,,,,,,
Full-Time Positions,"2,259","2,187","2,146","2,229","2,276","2,072",157,204
Class 100 Total Oblig./Approp.,"169,950,366","169,463,842","174,356,738","168,444,509","172,444,509","173,644,509","(5,200,000)","(1,200,000)"
Class 100 Overtime Oblig./Approp. (*) Transferred to First Judicial District,"20,521,021","19,490,200","27,080,170","21,229,855","25,229,865","28,017,048","(6,787,193)","(2,787,183)"
