0,1,2,3,4,5,6,7,8
,,,,,,FULL YEAR,,
Department/ Category,FY 12 Year End,FY 13 Year End,FY 14 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Revenue,,,,,,,,
Full-Time Positions,286,282,290,339,339,319,20,20
Class 100 Total Oblig./Approp.,"14,544,961","14,479,641","15,368,046","17,764,545","18,166,344","17,666,344","98,201","500,000"
Class 100 Overtime Oblig./Approp.,"356,769","284,616","525,217","307,800","307,800","614,697","(306,897)","(306,897)"
Sheriff,,,,,,,,
Full-Time Positions,226,231,277,311,311,299,12,12
Class 100 Total Oblig./Approp.,"14,816,967","14,460,864","17,091,441","17,032,412","19,581,967","20,281,967","(3,249,555)","(700,000)"
Class 100 Overtime Oblig./Approp.,"2,974,326","3,227,620","3,235,305","2,276,185","4,276,185","4,744,360","(2,468,175)","(468,175)"
Streets-Sanitation,,,,,,,,
Full-Time Positions,"1,157","1,165","1,153","1,228","1,228","1,146",82,82
Class 100 Total Oblig./Approp.,"46,123,890","45,307,251","48,199,455","45,208,603","52,006,455","55,006,455","(9,797,852)","(3,000,000)"
Class 100 Overtime Oblig./Approp.,"7,679,471","7,107,251","10,112,454","5,896,536","9,596,536","12,644,223","(6,747,687)","(3,047,687)"
Streets-Transportation,,,,,,,,
Full-Time Positions,525,525,531,561,561,518,43,43
Class 100 Total Oblig./Approp.,"19,834,401","19,782,861","22,508,108","22,258,233","25,258,233","25,258,233","(3,000,000)",0
Class 100 Overtime Oblig./Approp.,"1,727,954","1,625,324","3,064,345","1,914,223","2,714,223","2,675,121","(760,898)","39,102"
Youth Commission,,,,,,,,
Full-Time Positions,1,1,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"24,694","50,000","72,688","90,000","92,216","92,216","(2,216)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Zoning Code Commission,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"119,408",0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
,,,,,,,,
TOTAL GENERAL FUND Full-Time Positions,"21,175","20,925","20,991","22,315","22,271","21,166","1,149","1,105"
Class 100 Total Oblig./Approp.,"1,318,984,279","1,362,359,729","1,450,615,388","1,433,918,993","1,503,412,324","1,506,212,324","(72,293,331)","(2,800,000)"
Class 100 Overtime Oblig./Approp,"125,081,005","139,971,176","151,506,720","121,543,090","147,407,725","159,131,426","(37,588,336)","(11,723,701)"
