0,1,2,3,4,5,6,7,8
,,,,,,FULL YEAR,,
Department/ Category,FY 12 Year End,FY 13 Year End,FY 14 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Traffic Court,,,,,,,,
Full-Time Positions,114,112,113,113,113,111,2,2
Class 100 Total Oblig./Approp.,"4,639,513","4,535,095","4,412,376","4,896,528","5,055,132","5,055,132","(158,604)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Fleet Management,,,,,,,,
Full-Time Positions,268,273,264,283,283,261,22,22
Class 100 Total Oblig./Approp.,"15,307,822","15,580,580","15,840,304","15,740,507","16,772,548","16,772,548","(1,032,041)",0
Class 100 Overtime Oblig./Approp.,"2,438,629","2,685,858","2,902,854","1,975,119","2,561,631","3,027,554","(1,052,435)","(465,923)"
Free Library,,,,,,,,
Full-Time Positions,608,609,609,697,648,642,55,6
Class 100 Total Oblig./Approp.,"28,981,009","29,154,178","30,801,445","33,919,457","35,443,344","35,443,344","(1,523,887)",0
Class 100 Overtime Oblig./Approp.,"791,993","1,097,007","1,252,355","1,042,138","1,346,926","1,502,862","(460,724)","(155,936)"
Historical Commission,,,,,,,,
Full-Time Positions,4,5,6,6,6,6,0,0
Class 100 Total Oblig./Approp.,"357,778","350,685","347,973","410,541","417,992","417,992","(7,451)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Relations Commission,,,,,,,,
Full-Time Positions,29,29,30,34,34,30,4,4
Class 100 Total Oblig./Approp.,"1,787,026","1,649,350","1,744,635","2,052,219","2,068,935","2,068,935","(16,716)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Services,,,,,,,,
Full-Time Positions,804,377,382,451,450,395,56,55
Class 100 Total Oblig./Approp.,"23,237,096","22,265,266","22,776,786","24,339,410","20,147,147","20,147,147","4,192,263",0
Class 100 Overtime Oblig./Approp.,"536,744","1,226,747","1,655,062","3,077,635","3,077,635","3,256,488","(178,853)","(178,853)"
Administration & Management,,,,,,,,
Full-Time Positions,117,19,100,117,116,109,8,7
Class 100 Total Oblig./Approp.,"3,805,987","1,122,016","4,586,721","5,798,077","5,614,624","5,614,624","183,453",0
Class 100 Overtime Oblig./Approp.,"47,583","48,300","132,667","306,332","306,332","355,710","(49,378)","(49,378)"
Performance Mgmt. & Accountability,,,,,,,,
Full-Time Positions,30,7,21,25,25,25,0,0
Class 100 Total Oblig./Approp.,"1,179,296","416,805","904,697","1,683,793","1,595,262","1,595,262","88,531",0
Class 100 Overtime Oblig./Approp.,"5,952","3,806","9,098","24,653","24,653","41,274","(16,621)","(16,621)"
Juvenile Justice Services,,,,,,,,
Full-Time Positions,151,56,131,167,165,134,33,31
Class 100 Total Oblig./Approp.,"6,894,412","3,288,078","7,194,415","8,430,518","5,833,608","5,833,608","2,596,910",0
Class 100 Overtime Oblig./Approp.,"359,641","616,516","937,095","1,876,275","1,876,275","1,786,861","89,414","89,414"
