0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Community Based Prevention Services,,,,,,,,,,,
Full-Time Positions,96,88,79,82,76,6,82,82,76,6,6
Class 100 Total Oblig./Approp.,"4,801,803","5,445,326","6,447,086","5,479,333","5,479,333",o,"5,479,333","5,479,333","5,479,333",o,o
Class 100 Overtime Oblig./Approp.,"395,209","413,928","288,304","145,441","177,977","(32,536)","295,440","145,441","177,977","117,463","(32,536)"
"Labor Relations, Mayor's Office of",,,,,,,,,,,
Full-Time Positions,7,7,7,6,7,(1),7,6,7,o,(1)
Class 100 Total Oblig./Approp.,"495,014","498,189","511,008","511,436","511,436",o,"457,501","511,436","511,436","(53,935)",o
Class 100 Overtime Oblig./Approp.,"7,020","7,341","8,911","10,000","2,897","7,103","10,000","10,000","2,897","7,103","7,103"
Law,,,,,,,,,,,
Full-Time Positions,193,192,182,184,176,8,203,184,176,27,8
Class 100 Total Oblig./Approp.,"10,091,089","10,872,968","10,604,942","11,415,383","11,415,383",0,"11,335,383","11,415,383","11,415,383","(80,000)",o
Class 100 Overtime Oblig./Approp.,"9,360","14,384","1,623","8,000","1,606","6,394","8,000","8,000","1,606",,"6,394"
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,351,356,309,323,305,18,330,323,305,25,18
Class 100 Total Oblig./Approp.,"16,511,531","17,773,107","16,560,604","15,352,541","15,352,541",o,"15,141,681","15,352,541","15,352,541","(210,860)",o
Class 100 Overtime Oblig./Approp.,"767,225","1,164,539","578,879","751,785","440,216","311,569","751,785","751,785","440,216","311,569","311,569"
Managing Director,,,,,,,,,,,
Full-Time Positions,102,95,128,123,112,11,123,123,112,11,11
Class 100 Total Oblig./Approp.,"8,117,286","8,034,882","11,876,751","12,813,269","12,813,269",o,"12,856,269","12,813,269","12,813,269","43,000",0
Class 100 Overtime Oblig./Approp.,"473,765","91,631","933,811","464,950","796,228","(331,278)","464,950","464,950","796,228","(331,278)","(331,278)"
Mayor,,,,,,,,,,,
Full-Time Positions,56,72,71,45,38,7,45,45,38,7,7
Class 100 Total Oblig./Approp.,"4,277,032","4,793,689","5,214,185","3,229,922","3,229,922",o,"3,604,922","3,229,922","3,229,922","375,000",o
Class 100 Overtime Oblig./Approp.,"5,639","1,731",o,o,o,0,o,o,o,0,o
Mayor Office of Arts and Culture,,,,,,,,,,,
Full-Time Positions,0,0,o,2,2,o,2,2,2,o,0
Class 100 Total Oblig./Approp.,0,0,0,"192,625","192,625",o,"192,625","192,625","192,625",0,0
Class 100 Overtime Oblig./Approp.,0,o,o,0,o,0,0,0,o,o,o
