0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2020 YEAR TO DATE,,,,FY 2020 FULL YEAR,,
Department /Category,FY 17 Year End,FY 18 Year End,FY 19 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Public Health,,,,,,,,,,,
Full-Time Positions,687,711,752,749,749,0,839,839,839,0,0
Class 100 Total Oblig./Approp.,"51,023,872","54,999,157","57,173,653","27,386,327","27,386,327",0,"58,328,165","58,328,165","58,328,165",0,0
Class 100 Overtime Oblig./Approp.,"2,266,394","2,300,499","2,346,586","935,850","1,294,182","(358,332)","1,871,700","1,871,700","2,471,700","(600,000)","(600,000)"
Public Property,,,,,,,,,,,
Full-Time Positions,146,135,135,132,132,0,149,149,149,0,0
Class 100 Total Oblig./Approp.,"8,654,937","8,797,024","8,875,590","3,995,024","3,995,024",0,"9,395,654","9,406,621","11,946,347","(2,550,693)","(2,539,726)"
Class 100 Overtime Oblig./Approp.,"636,933","855,977","839,027","421,574","461,867","(40,293)","843,148","843,148","843,148",0,0
Records,,,,,,,,,,,
Full-Time Positions,57,57,55,55,55,0,59,59,59,0,0
Class 100 Total Oblig./Approp.,"2,822,489","3,004,442","2,983,490","1,361,556","1,361,556",0,"3,226,285","3,258,159","3,258,159","(31,874)",0
Class 100 Overtime Oblig./Approp.,"106,687","80,622","63,145","18,254","34,434","(16,180)","36,508","36,508","66,508","(30,000)","(30,000)"
Register of Wills,,,,,,,,,,,
Full-Time Positions,72,71,70,70,71,(1),70,70,70,0,0
Class 100 Total Oblig./Approp.,"3,842,824","4,021,761","4,262,942","2,093,787","2,093,787",0,"4,286,409","4,286,409","4,286,409",0,0
Class 100 Overtime Oblig./Approp.,0,0,"1,488",500,"1,196",(696),0,"1,000","3,000","(3,000)","(2,000)"
Revenue,,,,,,,,,,,
Full-Time Positions,402,414,405,406,406,0,458,458,458,0,0
Class 100 Total Oblig./Approp.,"20,417,912","21,536,327","22,700,386","10,578,915","10,578,915",0,"23,934,508","23,978,133","23,978,133","(43,625)",0
Class 100 Overtime Oblig./Approp.,"597,862","414,990","367,414","239,000","159,477","79,523","478,000","478,000","478,000",0,0
Sheriff,,,,,,,,,,,
Full-Time Positions,348,364,355,360,360,0,428,428,428,0,0
Class 100 Total Oblig./Approp.,"25,144,829","27,179,518","27,638,571","13,081,730","13,081,730",0,"25,443,537","25,443,537","25,443,537",0,0
Class 100 Overtime Oblig./Approp.,"5,748,984","5,934,927","6,163,832","2,412,464","2,773,453","(360,989)","4,824,927","4,824,927","5,324,927","(500,000)","(500,000)"
