0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2020 YEAR TO DATE,,,,FY 2020 FULL YEAR,,
Department / Category,FY 17 Year End,FY 18 Year End,FY 19 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,7,9,9,8,8,0,9,9,9,0,0
Class 100 Total Oblig./Approp.,"513,653","498,576","548,133","329,728","329,728",0,"551,910","556,456","556,456","(4,546)",0
Class 100 Overtime Oblig./Approp.,0,495,139,100,79,21,0,200,200,(200),0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,607,629,647,661,661,0,759,759,759,0,0
Class 100 Total Oblig./Approp.,"43,978,477","47,030,321","48,579,951","25,341,001","25,341,001",0,"52,490,935","52,490,935","52,490,935",0,0
Class 100 Overtime Oblig./Approp.,"3,525,788","3,720,838","3,538,131","1,738,636","2,228,170","(489,534)","3,477,271","3,477,271","3,627,271","(150,000)","(150,000)"
Planning and Development,,,,,,,,,,,
Full-Time Positions,0,49,56,59,59,0,62,62,62,0,0
Class 100 Total Oblig./Approp.,0,"3,894,669","4,695,950","2,137,341","2,137,341",0,"5,167,172","5,173,902","5,173,902","(6,730)",0
Class 100 Overtime Oblig./Approp.,0,"15,829","14,817","5,000","7,758","(2,758)",0,"10,000","15,000","(15,000)","(5,000)"
Police,,,,,,,,,,,
Full-Time Positions,"6,986","7,172","7,241","7,281","7,281",0,"7,443","7,443","7,443",0,0
Class 100 Total Oblig./Approp.,"631,459,043","670,260,752","685,445,815","329,932,369","329,932,369",0,"718,359,324","718,359,324","718,359,324",0,0
Class 100 Overtime Oblig./Approp.*,"66,360,482","68,238,536","61,647,723","35,080,250","45,743,674","(10,663,424)","67,660,500","70,160,500","78,660,500","(11,000,000)","(8,500,000)"
*Police OT is abated as reimbursements occur Prisons,,,,,,,,,,,
Full-Time Positions,"2,277","2,177","2,130","2,095","2,095",0,"2,160","2,160","2,160",0,0
Class 100 Total Oblig./Approp.,"148,514,858","149,461,785","138,537,912","65,405,723","65,405,723",0,"139,765,668","139,765,668","139,765,668",0,0
Class 100 Overtime Oblig./Approp.,"31,197,142","33,450,882","24,169,020","13,566,064","14,027,032","(460,968)","27,132,127","27,132,127","27,132,127",0,0
Procurement,,,,,,,,,,,
Full-Time Positions,44,46,41,42,42,0,50,50,50,0,0
Class 100 Total Oblig./Approp.,"2,420,035","2,450,043","2,402,513","1,130,437","1,130,437",0,"2,709,242","2,738,906","2,738,906","(29,664)",0
Class 100 Overtime Oblig./Approp.,"28,835","8,930","5,647","10,500","2,320","8,180","21,000","21,000","11,000","10,000","10,000"
