0,1,2,3,4,5,6,7,8
,,,,,,FULL YEAR,,
Department/ Category,FY 12 Year End,FY 13 Year End,FY 14 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Mayor's Office,,,,,,,,
Full-Time Positions,33,36,44,46,50,51,(5),(1)
Class 100 Total Oblig./Approp.,"2,965,371","3,078,511","3,956,370","4,151,380","4,262,809","4,262,809","(111,429)",0
Class 100 Overtime Oblig./Approp.,0,102,0,0,0,0,0,0
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,
Full-Time Positions,0,15,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,0,0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Mayor's Office of Transportation and Utilities,,,,,,,,
Full-Time Positions,8,13,13,14,14,12,2,2
Class 100 Total Oblig./Approp.,"467,898","519,216","517,740","498,887","531,512","531,512","(32,625)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,113,(113),(113)
Mural Arts Program,,,,,,,,
Full-Time Positions,11,11,11,11,11,10,1,1
Class 100 Total Oblig./Approp.,"441,677","444,917","446,350","449,625","461,779","461,779","(12,154)",0
Class 100 Overtime Oblig./Approp,"11,428","8,660","8,218","6,097","6,097","10,642","(4,545)","(4,545)"
Office of Arts and Culture,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"198,750","203,107","98,456","199,800","201,105","201,105","(1,305)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Behavioral Health and Intellectual disAbility,,,,,,,,
Full-Time Positions,19,19,15,16,16,14,2,2
Class 100 Total Oblig./Approp.,"1,360,503","1,357,191","974,425","969,170","991,846","991,846","(22,676)",0
Class 100 Overtime Oblig./Approp.,"9,867","3,491",596,"3,000","3,000","1,005","1,995","1,995"
Office of Human Resources,,,,,,,,
Full-Time Positions,80,78,79,92,92,82,10,10
Class 100 Total Oblig./Approp.,"4,141,604","4,383,527","4,548,099","5,145,299","5,296,000","5,296,000","(150,701)",0
Class 100 Overtime Oblig./Approp.,"63,270","36,261","75,485","50,000","50,000","62,199","(12,199)","(12,199)"
Office of Innovation and Technology,,,,,,,,
Full-Time Positions,255,255,259,305,288,261,44,27
Class 100 Total Oblig./Approp.,"16,408,093","17,229,380","17,480,289","19,715,777","19,611,601","19,011,601","704,176","600,000"
Class 100 Overtime Oblig./Approp.,"590,240","607,010","633,199","516,989","562,759","804,969","(287,980)","(242,210)"
Office of the Inspector General,,,,,,,,
Full-Time Positions,17,18,16,18,18,18,0,0
Class 100 Total Oblig./Approp.,"1,128,064","1,156,164","1,215,491","1,326,369","1,363,222","1,363,222","(36,853)",0
Class 100 Overtime Oblig./Approp,0,0,0,0,0,0,0,0
