0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department/Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,2,1,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"160,826","140,533","141,474","74,145","74,145",0,"180,988","180,988","180,988",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Commerce,,,,,,,,,,,
Full-Time Positions,44,37,35,49,49,0,82,74,74,8,0
Class 100 Total Oblig./Approp.,"3,453,180","2,499,341","2,601,371","1,709,334","1,709,334",0,"5,380,613","5,308,213","5,308,213","72,400",0
Class 100 Overtime Oblig./Approp.,"6,816",0,0,"5,000",0,"5,000","10,000","10,000","10,000",0,0
District Attorney,,,,,,,,,,,
Full-Time Positions,545,521,503,560,560,0,583,583,583,0,0
Class 100 Total Oblig./Approp.,"38,029,618","38,421,902","39,764,411","20,875,526","20,875,526",0,"40,467,055","40,467,055","43,531,655","(3,064,600)","(3,064,600)"
Class 100 Overtime Oblig./Approp.,"135,138","141,860","169,371","105,244","201,328","(96,084)","210,488","210,488","210,488",0,0
Finance,,,,,,,,,,,
Full-Time Positions,119,119,122,118,118,0,134,134,134,0,0
Class 100 Total Oblig./Approp.,"9,222,201","9,293,924","9,986,109","5,055,083","5,055,083",0,"10,863,735","10,863,735","10,863,735",0,0
Class 100 Overtime Oblig./Approp.,"74,119","128,747","125,778","57,582","61,703","(4,121)","136,163","115,163","115,163","21,000",0
Finance Reg #32 Disability,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"1,092,451","2,167,137","2,497,028","2,134,977","2,134,977",0,"2,800,000","2,800,000","2,800,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Fire,,,,,,,,,,,
Full-Time Positions,"2,628","2,678","2,667","2,788","2,763",25,"3,376","2,901","2,901",475,0
Class 100 Total Oblig./Approp.,"303,857,650","318,512,653","341,171,247","168,164,590","168,164,590",0,"354,321,176","355,071,176","355,071,176","(750,000)",0
Class 100 Overtime Oblig./Approp.,"63,932,091","62,597,682","68,452,340","35,723,878","37,130,429","(1,406,551)","70,697,756","71,447,756","72,897,756","(2,200,000)","(1,450,000)"
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,825","1,773","1,686","1,702","1,702",0,"1,719","1,719","1,719",0,0
Class 100 Total Oblig./Approp.,"103,276,427","102,667,998","101,924,504","47,231,113","47,231,113",0,"111,144,985","112,430,762","112,430,762","(1,285,777)",0
Class 100 Overtime Oblig./Approp.,"47,641","12,832","14,688","48,270","28,800","19,470","96,540","96,540","96,540",0,0
