0,1,2,3,4,5,6,7,8
,,,,,,FY 2018 FULL YEAR,,
Department/Category,FY 15 Year End,FY 16 Year End,FY 17 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Innovation and Technology,,,,,,,,
Full-Time Positions,261,271,274,294,294,284,10,10
Class 100 Total Oblig./Approp.,"18,927,722","19,807,002","19,875,293","21,019,003","20,644,817","20,644,817","374,186",0
Class 100 Overtime Oblig./Approp.,"804,969","706,984","664,825","713,873","588,873","588,873","125,000",0
OIT-Base,,,,,,,,
Full-Time Positions,259,268,272,291,291,282,9,9
Class 100 Total Oblig./Approp.,"18,699,210","19,517,549","19,568,493","20,112,415","19,738,229","19,738,229","374,186",0
Class 100 Overtime Oblig./Approp.,"804,969","706,984","664,825","713,873","513,873","513,873","200,000",0
OIT-911,,,,,,,,
Full-Time Positions,2,3,2,3,3,2,1,1
Class 100 Total Oblig./Approp.,"228,512","289,453","306,800","906,588","906,588","906,588",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,"75,000","75,000","(75,000)",0
Office of the Inspector General,,,,,,,,
Full-Time Positions,18,19,18,19,19,19,0,0
Class 100 Total Oblig./Approp.,"1,289,745","1,373,644","1,355,599","1,444,811","1,524,111","1,524,111","(79,300)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Planning and Development,,,,,,,,
Full-Time Positions,0,0,4,0,0,0,0,0
Class 100 Total Oblig./Approp.,0,0,"450,687",0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,
Full-Time Positions,186,200,199,223,223,193,30,30
Class 100 Total Oblig./Approp.,"10,683,762","10,675,256","11,324,075","11,313,100","11,483,381","11,483,381","(170,281)",0
Class 100 Overtime Oblig./Approp.,"43,298","29,129","59,841","50,000","40,000","40,000","10,000",0
Office of Sustainability,,,,,,,,
Full-Time Positions,0,8,7,8,8,9,(1),(1)
Class 100 Total Oblig./Approp.,0,"488,757","513,653","557,790","518,596","518,596","39,194",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,"1,000","1,000","(1,000)",0
Parks and Recreation,,,,,,,,
Full-Time Positions,598,593,607,748,698,629,119,69
Class 100 Total Oblig./Approp.,"42,597,872","42,943,935","43,978,477","46,948,421","46,383,861","46,383,861","564,560",0
Class 100 Overtime Oblig./Approp.,"3,047,922","3,538,293","3,525,788","2,875,000","3,275,000","3,275,000","(400,000)",0
Planning and Development,,,,,,,,
Full-Time Positions,0,0,0,47,47,49,(2),(2)
Class 100 Total Oblig./Approp.,0,0,0,"3,899,308","4,050,650","4,050,650","(151,342)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,"10,000","10,000","(10,000)",0
