0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
"Early Childhood, Youth & Women's Hlth.",,,,,,,,
Full-Time Positions,13,11,14,20,20,12,8,8
Class 100 Total Oblig./Approp.,"862,824","1,070,527","899,276","1,333,719","1,333,719","1,333,719",0,0
Class 100 Overtime Oblig./Approp.,"39,058","28,085","53,473","48,684","48,684","83,578","(34,894)","(34,894)"
Phila. Nursing Home,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"94,375","133,652","166,930","190,896","190,896","190,896",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Environmental Protection Services,,,,,,,,
Full-Time Positions,105,101,97,112,112,96,16,16
Class 100 Total Oblig./Approp.,"5,484,639","5,353,019","5,287,031","5,852,950","5,852,950","5,852,950",0,0
Class 100 Overtime Oblig./Approp.,"407,660","360,136","345,548","198,063","198,063","418,679","(220,616)","(220,616)"
Administration and Support Svcs.,,,,,,,,
Full-Time Positions,87,91,90,101,101,80,21,21
Class 100 Total Oblig./Approp.,"4,984,511","5,114,547","5,174,462","5,712,045","5,712,045","5,712,045",0,0
Class 100 Overtime Oblig./Approp.,"492,932","502,956","563,066","428,351","428,351","594,754","(166,403)","(166,403)"
Medical Examiner's Office,,,,,,,,
Full-Time Positions,48,47,46,52,52,46,6,6
Class 100 Total Oblig./Approp.,"3,060,172","2,942,317","3,204,028","3,232,054","3,232,054","3,232,054",0,0
Class 100 Overtime Oblig./Approp.,"226,662","316,299","308,981","225,607","225,607","298,924","(73,317)","(73,317)"
