0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Register of Wills,,,,,,,,,,,
Full-Time Positions,66,70,67,62,62,0,73,73,73,0,0
Class 100 Total Oblig./Approp.,"4,523,524","4,174,663","4,221,694","2,971,881","2,971,881",0,"4,309,771","4,309,771","4,327,557","(17,786)","(17,786)"
Class 100 Overtime Oblig./Approp.,399,231,"5,641",0,0,0,0,0,0,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,402,386,328,329,329,0,399,400,370,29,30
Class 100 Total Oblig./Approp.,"23,489,160","22,277,095","20,432,060","14,608,241","14,608,241",0,"21,927,194","21,927,194","21,951,596","(24,402)","(24,402)"
Class 100 Overtime Oblig./Approp.,"295,650","85,746","339,671","277,500","307,886","(30,386)","320,000","370,000","370,000","(50,000)",0
Sheriff,,,,,,,,,,,
Full-Time Positions,385,367,343,333,333,0,537,437,437,100,0
Class 100 Total Oblig./Approp.,"28,049,726","26,258,562","26,834,747","20,174,858","20,174,858",0,"28,345,027","28,345,027","28,365,689","(20,662)","(20,662)"
Class 100 Overtime Oblig./Approp.,"4,797,577","2,799,955","4,021,949","3,274,493","3,640,877","(366,384)","2,865,990","4,365,990","4,765,990","(1,900,000)","(400,000)"
Streets,,,,,,,,,,,
Full-Time Positions,"1,925","1,941","2,072","2,001","2,001",0,"2,378","2,378","2,378",0,0
Class 100 Total Oblig./Approp.,"90,344,142","88,868,951","99,660,073","82,579,432","82,579,432",0,"122,676,329","122,476,329","122,494,102","182,227","(17,773)"
Class 100 Overtime Oblig./Approp.,"15,039,549","16,469,836","17,741,782","13,802,489","12,092,676","1,709,813","18,003,319","18,403,319","18,403,319","(400,000)",0
,,,,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"22,422","21,630","21,055","20,921","20,921",0,"25,489","23,722","22,665","2,824","1,057"
Class 100 Total Oblig./Approp.*,"1,874,182,010","1,811,423,186","1,890,714,287","1,415,641,445","1,415,641,445",0,"2,057,006,412","2,090,954,242","2,089,461,595","(32,455,183)","1,492,647"
Class 100 Overtime Oblig./Approp.,"208,034,045","185,591,876","215,014,701","190,741,831","193,074,556","(2,332,725)","219,750,557","254,322,437","258,480,132","(38,729,575)","(4,157,695)"
