0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Fleet Services,,,,,,,,,,,
Full-Time Positions,282,268,266,291,260,31,318,318,318,0,0
Class 100 Total Oblig./Approp.,"18,563,332","17,982,245","18,075,554","8,799,259","8,799,259",0,"20,534,432","20,534,432","20,534,432",0,0
Class 100 Overtime Oblig./Approp.,"1,679,115","1,413,920","1,986,852","1,326,549","1,363,379","(36,830)","1,553,098","2,653,098","2,653,098","(1,100,000)",0
Free Library,,,,,,,,,,,
Full-Time Positions,677,634,618,770,636,134,961,961,831,130,130
Class 100 Total Oblig./Approp.,"41,221,658","36,056,416","37,737,788","17,591,922","17,591,922",0,"50,911,555","50,496,555","50,496,555","415,000",0
Class 100 Overtime Oblig./Approp.,"1,646,292","325,884","587,443","802,500","433,643","368,857","1,605,000","1,605,000","1,605,000",0,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,34,32,32,32,32,0,33,33,33,0,0
Class 100 Total Oblig./Approp.,"2,286,672","2,267,083","2,286,733","1,183,282","1,183,282",0,"2,502,372","2,502,372","2,502,372",0,0
Class 100 Overtime Oblig./Approp.,23,"4,569",0,0,"27,207","(27,207)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,437,492,492,393,393,0,535,535,535,0,0
Class 100 Total Oblig./Approp. *,"22,404,173","28,025,714","28,716,422","8,074,557","8,074,557",0,"34,466,970","35,030,630","35,030,630","(563,660)",0
Class 100 Overtime Oblig./Approp. *,"2,993,692","3,324,490","4,080,821","1,678,816","1,135,688","543,128","3,357,632","3,357,632","3,357,632",0,0
Labor,,,,,,,,,,,
Full-Time Positions,27,26,28,33,33,0,44,44,44,0,0
Class 100 Total Oblig./Approp.,"1,945,732","1,991,712","2,246,006","1,280,950","1,280,950",0,"3,460,299","3,460,299","3,460,299",0,0
Class 100 Overtime Oblig./Approp.,986,59,"8,366","19,914",0,"19,914","39,828","39,828","39,828",0,0
Law,,,,,,,,,,,
Full-Time Positions,130,127,175,194,194,0,198,198,198,0,0
Class 100 Total Oblig./Approp.,"9,733,493","9,640,029","13,550,079","7,227,209","7,227,209",0,"15,705,718","15,705,718","15,705,718",0,0
Class 100 Overtime Oblig./Approp.,6,"6,050",0,0,0,0,0,0,0,0,0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,394,372,346,354,354,0,425,425,425,0,0
Class 100 Total Oblig./Approp.,"24,986,716","24,779,256","24,295,338","11,458,532","11,458,532",0,"26,670,602","26,670,602","26,670,602",0,0
Class 100 Overtime Oblig./Approp.,"1,408,144","845,614","1,342,903","503,504","549,335","(45,831)","1,007,007","1,007,007","1,007,007",0,0
