0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2021 YEAR TO DATE,,,,FY 2021 FULL YEAR,,
Department/Category,FY 18 Year End Actual,FY 19 Year End Actual,FY 20 Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,867","1,842","1,825","1,798","1,799",(1),"1,878","1,878","1,878",0,0
Class 100 Total Oblig./Approp.,"98,343,914","100,719,400","103,276,427","76,570,053","76,570,053",0,"105,324,122","105,324,122","105,324,122",0,0
Class 100 Overtime Oblig./Approp.,"25,034","24,242","47,641","71,130","9,834","61,296","94,840","94,840","14,840","80,000","80,000"
Fleet Management,,,,,,,,,,,
Full-Time Positions,281,286,282,276,276,0,312,312,312,0,0
Class 100 Total Oblig./Approp.,"17,532,835","18,501,080","18,563,332","13,067,842","13,067,842",0,"19,073,455","19,073,455","19,073,455",0,0
Class 100 Overtime Oblig./Approp.,"2,249,940","2,406,919","1,679,115","1,082,178","912,755","169,423","1,442,904","1,442,904","1,242,904","200,000","200,000"
Free Library,,,,,,,,,,,
Full-Time Positions,649,651,677,646,646,0,756,756,756,0,0
Class 100 Total Oblig./Approp.,"36,929,841","38,004,616","41,221,658","28,062,331","28,062,331",0,"35,549,343","35,549,343","35,549,343",0,0
Class 100 Overtime Oblig./Approp.,"1,576,070","1,667,956","1,646,292","276,935","289,311","(12,376)","114,541","369,247","369,247","(254,706)",0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,32,34,32,32,0,37,37,37,0,0
Class 100 Total Oblig./Approp.,"2,033,062","2,071,428","2,286,672","1,694,756","1,694,756",0,"2,360,285","2,360,285","2,360,285",0,0
Class 100 Overtime Oblig./Approp.,0,0,23,0,"40,457","(40,457)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,517,396,437,492,492,0,492,492,492,0,0
Class 100 Total Oblig./Approp. *,"30,712,077","22,738,842","22,404,173","16,661,173","16,661,173",0,"31,673,433","32,098,433","32,098,433","(425,000)",0
Class 100 Overtime Oblig./Approp. *,"3,968,761","2,644,765","2,993,692","2,325,968","1,692,544","633,424","3,101,290","3,101,290","2,301,290","800,000","800,000"
*DHS expenses are transferred from the Grants Fd.,,,,,,,,,,,
Labor,,,,,,,,,,,
Full-Time Positions,20,22,27,27,27,0,35,35,35,0,0
Class 100 Total Oblig./Approp.,"1,425,750","1,586,766","1,945,732","1,424,083","1,424,083",0,"2,395,467","2,395,467","2,395,467",0,0
Class 100 Overtime Oblig./Approp.,71,274,986,38,29,9,"18,072",50,50,"18,022",0
Law,,,,,,,,,,,
Full-Time Positions,121,128,130,124,124,0,134,134,134,0,0
Class 100 Total Oblig./Approp.,"7,978,352","8,802,032","9,733,493","6,948,141","6,948,141",0,"9,520,003","9,520,003","9,520,003",0,0
Class 100 Overtime Oblig./Approp.,"1,254",72,6,"1,275","5,794","(4,519)",0,"1,700","1,700","(1,700)",0
