0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2021 YEAR TO DATE,,,,FY 2021 FULL YEAR,,
Department/Category,FY 18 Year End Actual,FY 19 Year End Actual,FY 20 Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,284,277,317,308,308,0,358,360,360,(2),0
Class 100 Total Oblig./Approp.,"20,852,810","20,875,286","24,148,702","17,280,973","17,280,973",0,"24,163,694","24,828,634","24,828,634","(664,940)",0
Class 100 Overtime Oblig./Approp.,"561,859","489,644","486,875","253,328","238,560","14,768","546,520","337,770","317,770","228,750","20,000"
OIT-Base,,,,,,,,,,,
Full-Time Positions,282,265,301,293,293,0,342,344,344,(2),0
Class 100 Total Oblig./Approp.,"19,828,255","19,846,610","22,772,627","16,421,443","16,421,443",0,"22,822,147","23,487,087","23,487,087","(664,940)",0
Class 100 Overtime Oblig./Approp.,"485,509","454,207","448,945","228,946","212,468","16,478","498,011","305,261","285,261","212,750","20,000"
OIT-911,,,,,,,,,,,
Full-Time Positions,2,12,16,15,15,0,16,16,16,0,0
Class 100 Total Oblig./Approp.,"1,024,555","1,028,676","1,376,075","859,530","859,530",0,"1,341,547","1,341,547","1,341,547",0,0
Class 100 Overtime Oblig./Approp.,"76,350","35,437","37,930","24,382","26,092","(1,710)","48,509","32,509","32,509","16,000",0
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,19,18,16,16,16,0,19,19,19,0,0
Class 100 Total Oblig./Approp.,"1,409,169","1,415,627","1,397,115","902,245","902,245",0,"1,472,481","1,472,481","1,472,481",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,193,196,195,194,194,0,220,230,230,(10),0
Class 100 Total Oblig./Approp.,"11,852,174","12,500,926","13,142,246","9,681,049","9,681,049",0,"12,918,061","13,428,399","13,428,399","(510,338)",0
Class 100 Overtime Oblig./Approp.,"29,688","94,062","73,955","78,609","30,800","47,809","50,000","104,812","42,812","7,188","62,000"
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,9,9,7,7,7,0,12,14,14,(2),0
Class 100 Total Oblig./Approp.,"498,576","548,133","566,858","344,740","344,740",0,"603,814","679,853","679,853","(76,039)",0
Class 100 Overtime Oblig./Approp.,495,139,79,150,0,150,0,200,200,(200),0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,629,647,647,624,624,0,748,748,748,0,0
Class 100 Total Oblig./Approp.,"47,030,321","48,579,951","50,465,519","30,969,322","30,969,322",0,"46,921,787","46,921,787","46,921,787",0,0
Class 100 Overtime Oblig./Approp.,"3,720,838","3,538,131","3,182,453","1,598,518","1,002,006","596,512","2,766,357","2,131,357","1,331,357","1,435,000","800,000"
