0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2009,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 06 Year End Actual,FY 07 Year End Actual,FY 08 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,33,35,34,34,34,0,34,34,34,o,o
Class 100 Total Oblig./Approp.,"1,971,753","2,111,219","2,070,825","2,087,386","2,087,386",o,"2,119,686","2,087,386","2,087,386","32,300",o
Class 100 Overtime Oblig./Approp.,o,341,0,o,0,o,250,0,o,250,o
Human Services,,,,,,,,,,,
Full-Time Positions,"1,703","1,721","1,784","1,860","1,741",119,"1,871","1,860","1,741",130,119
Class 100 Total Oblig./Approp.,"85,263,449","90,561,664","96,250,356","102,995,265","102,995,265",o,"102,382,665","102,995,265","102,995,265","(612,600)",0
Class 100 Overtime Oblig./Approp.,"6,457,374","8,309,665","11,383,838","10,515,683","8,571,960","1,943,723","8,668,003","10,515,683","8,571,960","96,043","1,943,723"
Administration & Management,,,,,,,,,,,
Full-Time Positions,201,215,232,265,230,35,265,265,230,35,35
Class 100 Total Oblig./Approp.,"8,788,008","8,899,065","10,020,949","11,591,939","11,591,939",o,"11,799,634","11,591,939","11,591,939","207,695",o
Class 100 Overtime Oblig./Approp.,"428,387","453,363","739,061","380,261","261,148","119,113","471,499","380,261","261,148","210,351","119,113"
Contract Admin. and Program Evaluation,,,,,,,,,,,
Full-Time Positions,42,43,51,53,52,1,53,53,52,1,1
Class 100 Total Oblig./Approp.,"2,427,036","2,645,400","3,003,740","3,157,090","3,157,090",o,"3,140,351","3,157,090","3,157,090","(16,739)",o
Class 100 Overtime Oblig./Approp.,"52,109","73,988","113,118","71,204","48,676","22,528","107,265","71,204","48,676","58,589","22,528"
Juvenile Justice Services,,,,,,,,,,,
Full-Time Positions,341,322,305,356,310,46,358,356,310,48,46
Class 100 Total Oblig./Approp.,"16,748,848","17,437,236","18,534,592","20,242,647","20,242,647",o,"19,479,717","20,242,647","20,242,647","(762,930)",o
Class 100 Overtime Oblig./Approp.,"3,052,970","3,633,275","4,829,326","5,287,739","4,263,521","1,024,218","3,779,509","5,287,739","4,263,521","(484,012)","1,024,218"
Children & Youth,,,,,,,,,,,
Full-Time Positions,"1,059","1,045","1,108","1,075","1,070",5,"1,084","1,075","1,070",14,5
Class 100 Total Oblig./Approp.,"53,211,361","56,778,160","59,245,749","60,696,275","60,696,275",o,"60,695,805","60,696,275","60,696,275",(470),o
Class 100 Overtime Oblig./Approp.,"2,557,922","3,753,830","5,288,405","4,444,976","3,710,311","734,665","3,903,983","4,444,976","3,710,311","193,672","734,665"
Community Based Prevention Services,,,,,,,,,,,
Full-Time Positions,60,96,88,111,79,32,111,111,79,32,32
Class 100 Total Oblig./Approp.,"4,088,196","4,801,803","5,445,326","7,307,314","7,307,314",o,"7,267,158","7,307,314","7.307,314","(40,156)",o
Class 100 Overtime Oblig./Approp.,"365,986","395,209","413,928","331,503","288,304","43,199","405,747","331,503","288,304","117,443","43,199"
