0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
L&I-Board of Building Standards,,,,,,,,,,,
Full-Time Positions,1,1,1,1,1,0,1,1,1,0,0
Class 100 Total Oblig./Approp.,"79,592","85,061","76,786","37,468","37,468",0,"84,116","84,116","84,116",0,0
Class 100 Overtime Oblig./Approp.,0,0,167,0,42,(42),0,0,80,(80),(80)
L&I-Board of L & Review,,,,,,,,,,,
Full-Time Positions,2,1,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"126,329","118,576","134,513","84,323","84,323",0,"170,377","170,377","170,377",0,0
Class 100 Overtime Oblig./Approp.,35,0,"2,983",0,0,0,0,0,0,0,0
Managing Director's Office,,,,,,,,,,,
Full-Time Positions,287,290,324,376,346,30,537,537,487,50,50
Class 100 Total Oblig./Approp.,"40,052,290","28,719,552","31,958,314","10,658,908","10,658,908",0,"36,253,382","37,768,654","37,768,654","(1,515,272)",0
Class 100 Overtime Oblig./Approp.,"1,088,557","824,568","847,036","486,025","642,149","(156,124)","972,050","972,050","1,222,050","(250,000)","(250,000)"
MDO-Base,,,,,,,,,,,
Full-Time Positions,287,290,311,363,333,30,522,522,472,50,50
Class 100 Total Oblig./Approp.,"40,052,290","28,719,552","31,286,076","10,215,199","10,215,199",0,"35,167,882","36,683,154","36,683,154","(1,515,272)",0
Class 100 Overtime Oblig./Approp.,"1,088,557","824,568","847,036","486,025","642,149","(156,124)","972,050","972,050","1,222,050","(250,000)","(250,000)"
MDO-Citizens Police Oversight Comm.,,,,,,,,,,,
Full-Time Positions,0,0,13,13,13,0,15,15,15,0,0
Class 100 Total Oblig./Approp.,0,0,"672,238","443,709","443,709",0,"1,085,500","1,085,500","1,085,500",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mayor's Office,,,,,,,,,,,
Full-Time Positions,61,61,60,56,56,0,64,64,64,0,0
Class 100 Total Oblig./Approp.,"5,526,098","5,574,446","5,673,722","2,969,021","2,969,021",0,"6,301,957","6,301,957","6,301,957",0,0
Class 100 Overtime Oblig./Approp.,88,0,0,0,0,0,0,0,0,0,0
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"90,000","45,000","44,997","18,820","18,820",0,"177,185","177,185","177,185",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
