0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2009,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 06 Year End Actual,FY 07 Year End Actual,FY 08 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Clerk of Quarter Sessions,,,,,,,,,,,
Full-Time Positions,113,114,117,121,110,11,121,121,110,11,11
Class 100 Total Oblig./Approp.,"4,219,043","4,642,061","4,807,963","5,207,591","5,207,591",0,"4,930,938","5,207,591","5,207,591","(276,653)",o
Class 100 Overtime Oblig./Approp.,"167,660","283,501","273,562","250,000","163,348","86,652","250,000","250,000","163,348","86,652","86,652"
Commerce,,,,,,,,,,,
Full-Time Positions,12,12,13,25,23,2,10,29,23,(13),6
Class 100 Total Oblig./Approp.,"1,103,496","1,165,372","1,052,506","1,491,358","1,491,358",o,"1,028,904","1,491,358","1,491,358","(462,454)",0
Class 100 Overtime Oblig./Approp.,"14,358","18,982","18,023",0,0,0,"1,000",0,o,"1,000",0
District Attorney,,,,,,,,,,,
Full-Time Positions,424,424,437,449,441,8,450,449,441,9,8
Class 100 Total Oblig./Approp.,"26,188,801","27,643,334","29,774,477","28,311,222","28,311,222",0,"29,604,687","28,311,222","28,311,222","1,293,465",0
Class 100 Overtime Oblig./Approp.,"123,693","75,652","167,534","145,263","174,690","(29,427)","224,484","145,263","174,690","49,794","(29,427)"
Fairmount Park,,,,,,,,,,,
Full-Time Positions,157,155,156,170,159,11,189,170,159,30,11
Class 100 Total Oblig./Approp.,"8,429,422","8,641,840","9,255,784","9,505,043","9,505,043",0,"10,006,560","9,505,043","9,505,043","501,517",0
Class 100 Overtime Oblig./Approp.,"1,430,753","1,545,224","1,762,220","1,767,287","1,329,249","438,038","1,657,829","1,767,287","1,329,249","328,580","438,038"
Finance,,,,,,,,,,,
Full-Time Positions (1),164,164,170,143,143,0,169,143,143,26,0
Class 100 Total Oblig./Approp.,"8,617,260","9,455,980","10,337,578","8,860,324","8,860,324",0,"9,530,137","8,860,324","8,860,324","669,813",0
Class 100 Overtime Oblig./Approp.,"44,495","16,457","16,631","15,735","14,037","1,698","20,000","15,735","14,037","5,963","1,698"
Fire,,,,,,,,,,,
Full-Time Positions,"2,270","2,399","2,326","2,357","2,259",98,"2,505","2,357","2,259",246,98
Class 100 Total Oblig./Approp.,"153,483,021","175,768,344","169,912,740","173,790,021","173,790,021",o,"172,281,307","173,790,021","173,790,021","(1,508,714)",0
Class 100 Overtime Oblig./Approp.,"25,351,516","30,894,895","23,708,740","17,079,337","20,523,357","(3,444,020)","22,314,217","17,079,337","20,523,357","1,790,860","(3,444,020)"
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,936","1,928","1,970","1,965","1,898",67,"1,965","1,965","1,898",67,67
Class 100 Total Oblig./Approp.,"87,149,961","88,826,470","91,950,443","84,374,842","84,374,842",(0),"88,815,623","84,374,842","84,374,842","4,440,781",0
Class 100 Overtime Oblig./Approp.,"344,184","392,191","201,814","96,000","126,110","(30,110)","96,000","96,000","126,110","(30,110)","(30,110)"
