0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Bd. of Revision of Taxes,,,,,,,,
Full-Time Positions,112,8,8,10,10,7,3,3
Class 100 Total Oblig./Approp.,"7,074,332","1,848,725","503,932","672,613","679,248","679,248","(6,635)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Camp William Penn,,,,,,,,
Full-Time Positions,1,0,0,0,0,o,0,0
Class 100 Total Oblig./Approp.,"30,466",0,0,0,0,0,o,o
Class 100 Overtime Oblig./Approp.,0,0,o,0,o,o,o,o
City Commissioners,,,,,,,,
Full-Time Positions,102,95,91,98,98,90,8,8
Class 100 Total Oblig./Approp.,"5,858,757","5,320,735","4,948,351","5,329,126","5,360,567","5,360,567","(31,441)",0
Class 100 Overtime Oblig./Approp.,"847,165","859,335","756,828","890,423","1,042,193","1,061,085","(170,662)","(18,892)"
City Council,,,,,,,,
Full-Time Positions,176,182,175,195,195,173,22,22
Class 100 Total Oblig./Approp.,"11,916,408","11,603,703","11,817,917","13,283,837","13,370,302","11,870,302","1,413,535","1,500,000"
Class 100 Overtime Oblig./Approp.,0,o,"2,559","24,000","24,000","5,866","18,134","18,134"
