0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
"Labor Relations, Mayor's Office of",,,,,,,,
Full-Time Positions,7,7,6,8,8,8,0,0
Class 100 Total Oblig./Approp.,"511,008","509,093","448,006","540,979","529,931","529,931","11,048",0
Class 100 Overtime Oblig./Approp.,"8,911","2,897","7,167","4,977","18,331","5,068",(91),"13,263"
Law,,,,,,,,
Full-Time Positions,182,176,160,148,115,105,43,10
Class 100 Total Oblig./Approp.,"10,604,942","10,065,455","9,232,600","6,685,874","6,573,489","6,573,489","112,385",0
Class 100 Overtime Oblig./Approp.,"1,623","1,606","1,670","5,000","5,000",286,"4,714","4,714"
Licenses & Inspections,,,,,,,,
Full-Time Positions,309,305,290,311,309,298,13,11
Class 100 Total Oblig./Approp.,"16,560,604","14,202,452","13,663,965","14,344,790","14,244,790","14,244,790","100,000",0
Class 100 Overtime Oblig./Approp.,"578,879","439,024","514,771","503,000","507,949","531,314","(28,314)","(23,365)"
Managing Director,,,,,,,,
Full-Time Positions,128,112,153,145,145,145,0,0
Class 100 Total Oblig./Approp.,"11,876,751","12,308,160","12,027,922","14,673,379","14,666,584","14,666,584","6,795",0
Class 100 Overtime Oblig./Approp.,"933,811","797,420","496,628","484,950","488,723","1,088,415","(603,465)","(599,692)"
Mayor,,,,,,,,
Full-Time Positions,71,38,33,35,35,33,2,2
Class 100 Total Oblig./Approp.,"5,214,185","3,146,395","2,952,968","3,090,676","3,090,676","3,090,676",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
