0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End,FY 20 Year End,FY 21,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Prisons,,,,,,,,,,,
Full-Time Positions,"2,130","1,975","1,620","1,427","1,427",0,"2,186","2,186","2,186",0,0
Class 100 Total Oblig./Approp.,"138,537,912","137,253,128","118,472,913","78,418,236","78,418,236",0,"132,739,167","133,890,594","133,890,594","(1,151,427)",0
Class 100 Overtime Oblig./Approp.,"24,169,020","26,918,548","24,602,298","18,918,825","21,186,299","(2,267,474)","23,725,100","25,225,100","26,225,100","(2,500,000)","(1,000,000)"
Procurement,,,,,,,,,,,
Full-Time Positions,41,42,35,35,35,0,42,42,42,0,0
Class 100 Total Oblig./Approp.,"2,402,513","2,519,208","2,434,690","1,913,066","1,913,066",0,"2,648,235","2,777,733","2,777,733","(129,498)",0
Class 100 Overtime Oblig./Approp.,"5,647","5,390","11,124","1,500","1,224",276,0,"2,000","2,000","(2,000)",0
Public Health,,,,,,,,,,,
Full-Time Positions,752,739,716,705,705,0,822,822,822,0,0
Class 100 Total Oblig./Approp.,"57,173,653","60,130,461","58,289,725","44,182,277","44,182,277",0,"59,267,291","62,004,283","61,762,283","(2,494,992)","242,000"
Class 100 Overtime Oblig./Approp.,"2,346,586","2,602,722","2,319,808","1,879,158","1,765,947","113,211","2,505,544","2,505,544","2,255,544","250,000","250,000"
Public Property,,,,,,,,,,,
Full-Time Positions,135,119,142,136,136,0,156,156,156,0,0
Class 100 Total Oblig./Approp.,"8,875,590","8,610,609","9,847,147","7,211,771","7,211,771",0,"10,098,527","10,548,425","10,548,425","(449,898)",0
Class 100 Overtime Oblig./Approp.,"839,027","800,350","195,014","180,311","183,689","(3,378)","230,414","240,414","240,414","(10,000)",0
Records,,,,,,,,,,,
Full-Time Positions,55,51,51,48,48,0,54,58,58,(4),0
Class 100 Total Oblig./Approp.,"2,983,490","2,995,101","2,823,021","2,302,034","2,302,034",0,"3,009,970","3,259,750","3,259,750","(249,780)",0
Class 100 Overtime Oblig./Approp.,"63,145","55,381","65,664","175,242","202,639","(27,397)","37,456","233,656","273,656","(236,200)","(40,000)"
Register of Wills,,,,,,,,,,,
Full-Time Positions,70,66,70,67,67,0,71,71,71,0,0
Class 100 Total Oblig./Approp.,"4,262,942","4,523,524","4,174,663","2,958,705","2,958,705",0,"3,956,193","3,997,445","4,101,028","(144,835)","(103,583)"
Class 100 Overtime Oblig./Approp.,"1,488",399,231,0,"5,641","(5,641)",0,0,"6,000","(6,000)","(6,000)"
Revenue,,,,,,,,,,,
Full-Time Positions,405,402,386,329,329,0,399,399,399,0,0
Class 100 Total Oblig./Approp.,"22,700,386","23,489,160","22,277,095","14,762,531","14,762,531",0,"20,380,548","21,518,547","21,518,547","(1,137,999)",0
Class 100 Overtime Oblig./Approp.,"367,414","295,650","85,746","150,000","125,912","24,088","300,000","200,000","200,000","100,000",0
