0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Fleet Services,,,,,,,,,,,
Full-Time Positions,282,268,266,260,260,0,318,318,318,0,0
Class 100 Total Oblig./Approp.,"18,563,332","17,982,245","18,075,554","4,433,834","4,433,834",0,"20,534,432","20,534,432","20,534,432",0,0
Class 100 Overtime Oblig./Approp.,"1,679,115","1,413,920","1,986,852","388,275","624,218","(235,943)","1,553,098","1,553,098","2,653,098","(1,100,000)","(1,100,000)"
Free Library,,,,,,,,,,,
Full-Time Positions,677,634,618,622,622,0,961,961,961,0,0
Class 100 Total Oblig./Approp.,"41,221,658","36,056,416","37,737,788","8,825,063","8,825,063",0,"50,911,555","50,911,555","50,496,555","415,000","415,000"
Class 100 Overtime Oblig./Approp.,"1,646,292","325,884","587,443","401,250","214,264","186,986","1,605,000","1,605,000","1,605,000",0,0
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,34,32,32,31,31,0,33,33,33,0,0
Class 100 Total Oblig./Approp.,"2,286,672","2,267,083","2,286,733","512,844","512,844",0,"2,502,372","2,502,372","2,502,372",0,0
Class 100 Overtime Oblig./Approp.,23,"4,569",0,0,"13,232","(13,232)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,437,492,492,400,400,0,535,535,535,0,0
Class 100 Total Oblig./Approp. *,"22,404,173","28,025,714","28,716,422","9,498","9,498",0,"34,466,970","34,466,970","35,030,630","(563,660)","(563,660)"
Class 100 Overtime Oblig./Approp. *,"2,993,692","3,324,490","4,080,821","839,408","9,498","829,910","3,357,632","3,357,632","3,357,632",0,0
Labor,,,,,,,,,,,
Full-Time Positions,27,26,28,32,32,0,44,44,44,0,0
Class 100 Total Oblig./Approp.,"1,945,732","1,991,712","2,246,006","507,376","507,376",0,"3,460,299","3,460,299","3,460,299",0,0
Class 100 Overtime Oblig./Approp.,986,59,"8,366","9,957",0,"9,957","39,828","39,828","39,828",0,0
Law,,,,,,,,,,,
Full-Time Positions,130,127,175,190,190,0,198,198,198,0,0
Class 100 Total Oblig./Approp.,"9,733,493","9,640,029","13,550,079","3,093,150","3,093,150",0,"15,705,718","15,705,718","15,705,718",0,0
Class 100 Overtime Oblig./Approp.,6,"6,050",0,0,0,0,0,0,0,0,0
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,394,372,346,344,344,0,425,425,425,0,0
Class 100 Total Oblig./Approp.,"24,986,716","24,779,256","24,295,338","5,111,958","5,111,958",0,"26,670,602","26,670,602","26,670,602",0,0
Class 100 Overtime Oblig./Approp.,"1,408,144","845,614","1,342,903","251,752","243,907","7,845","1,007,007","1,007,007","1,007,007",0,0
