0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2023 YEAR TO DATE,,,,FY 2023 FULL YEAR,,
Department / Category,FY 20 Year End,FY 21 Year End,FY 22 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Register of Wills,,,,,,,,,,,
Full-Time Positions,66,70,67,64,64,0,73,73,73,0,0
Class 100 Total Oblig./Approp.,"4,523,524","4,174,663","4,221,694","2,035,065","2,035,065",0,"4,309,771","4,309,771","4,309,771",0,0
Class 100 Overtime Oblig./Approp.,399,231,"5,641",0,0,0,0,0,0,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,402,386,328,326,326,0,399,400,400,(1),0
Class 100 Total Oblig./Approp.,"23,489,160","22,277,095","20,432,060","9,929,994","9,929,994",0,"21,927,194","21,927,194","21,927,194",0,0
Class 100 Overtime Oblig./Approp.,"295,650","85,746","339,671","160,000","274,618","(114,618)","320,000","320,000","370,000","(50,000)","(50,000)"
Sheriff,,,,,,,,,,,
Full-Time Positions,385,367,343,344,344,0,537,537,437,100,100
Class 100 Total Oblig./Approp.,"28,049,726","26,258,562","26,834,747","13,665,712","13,665,712",0,"28,345,027","28,345,027","28,345,027",0,0
Class 100 Overtime Oblig./Approp.,"4,797,577","2,799,955","4,021,949","2,182,995","2,398,593","(215,598)","2,865,990","4,365,990","4,365,990","(1,500,000)",0
Streets,,,,,,,,,,,
Full-Time Positions,"1,925","1,941","2,072","2,010","2,010",0,"2,378","2,378","2,378",0,0
Class 100 Total Oblig./Approp.,"90,344,142","88,868,951","99,660,073","49,076,313","49,076,313",0,"122,676,329","122,476,329","122,476,329","200,000",0
Class 100 Overtime Oblig./Approp.,"15,039,549","16,469,836","17,741,782","9,201,660","7,893,066","1,308,594","18,003,319","18,403,319","18,403,319","(400,000)",0
,,,,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"22,422","21,630","21,055","22,329","20,947","1,382","25,489","24,873","23,722","1,767","1,151"
Class 100 Total Oblig./Approp.,"1,874,182,010","1,811,423,186","1,890,714,287","940,295,983","940,295,983",0,"2,057,006,412","2,077,704,442","2,090,954,242","(33,947,830)","(13,249,800)"
Class 100 Overtime Oblig./Approp.,"208,034,045","185,591,876","215,014,701","120,984,483","133,401,244","(12,416,761)","219,750,557","241,968,957","254,322,437","(34,571,880)","(12,353,480)"
