0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Bd. of Revision of Taxes,,,,,,,,
Full-Time Positions,133,112,8,10,10,8,2,2
Class 100 Total Oblig./Approp.,"7,914,757","7,074,332","1,848,725","687,073","672,613","672,613","14,460",0
Class 100 Overtime Oblig./Approp.,"9,591",0,0,0,0,0,0,0
Camp William Penn,,,,,,,,
Full-Time Positions,1,1,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"31,822","30,466",0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
"Capital Program Office, Mayor -",,,,,,,,
Full-Time Positions,24,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,004,347",0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"4,575",0,0,0,0,0,0,0
City Commissioners,,,,,,,,
Full-Time Positions,100,102,95,98,98,91,7,7
Class 100 Total Oblig./Approp.,"6,081,795","5,858,757","5,320,735","5,511,210","5,329,126","5,329,126","182,084",0
Class 100 Overtime Oblig./Approp.,"1,122,061","847,165","859,335","890,423","890,423","756,828","133,595","133,595"
City Council,,,,,,,,
Full-Time Positions,185,176,182,195,195,175,20,20
Class 100 Total Oblig./Approp.,"12,291,886","11,916,408","11,603,703","12,283,837","12,283,837","12,283,837",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,"2,559","(2,559)","(2,559)"
