name,jan_fy23,jan_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,7465.0,99958.0,5259665.0,15864463.0,-10604798.0,,
traffic_fines,162568.0,492937.0,1257060.0,1705802.0,-448742.0,,
other_fines,643963.0,951436.0,5711990.0,6301106.0,-589116.0,,
reimbursements,4740466.0,830778.0,24571977.0,19612363.0,4959614.0,,
asset_sales,696525.0,,1267976.0,1566756.0,-298780.0,,
payments_in_lieu_of_taxes,1931.0,33848.0,1041248.0,1213508.0,-172259.0,,
cable_television,300000.0,295498.0,9109941.0,13208790.0,-4098849.0,,
emergency_medical_services,3222139.0,2904117.0,20260219.0,18603460.0,1656759.0,,
commercial_trash_fee,2605069.0,2996601.0,14832396.0,15330022.0,-497626.0,,
interest_earnings,9977805.0,192574.0,44387606.0,3124840.0,41262766.0,,
licenses_and_inspection_fees,6114026.0,5482176.0,37410075.0,47447794.0,-10037719.0,,
streets,1772312.0,500926.0,8027640.0,8026307.0,1333.0,,
health,2636078.0,6456492.0,29271859.0,39552882.0,-10281023.0,,
sheriff,,,-7506.0,-2920.0,-4586.0,,
records,1084480.0,2858835.0,10003025.0,11672466.0,-1669441.0,,
court_related_costs,1601040.0,2932304.0,13236703.0,11845247.0,1391456.0,,
miscellaneous,1345468.0,807699.0,15637424.0,7289051.0,8348373.0,,
total_local_nontax_revenue,36911335.0,27836178.0,241279298.0,222361936.0,18917361.0,131485702.0,64.73
