name,may_fy23,may_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,356400.0,60000.0,8131415.0,24423418.0,-16292003.0,,
traffic_fines,186799.0,217229.0,2067983.0,2683484.0,-615501.0,,
other_fines,952462.0,495623.0,8934148.0,9253398.0,-319250.0,,
reimbursements,4181261.0,2345687.0,40124497.0,26812402.0,13312095.0,,
asset_sales,686222.0,560727.0,1845436.0,2127562.0,-282125.0,,
payments_in_lieu_of_taxes,14087.0,106817.0,4411451.0,4453812.0,-42361.0,,
cable_television,4250545.0,4436873.0,17664216.0,19331374.0,-1667157.0,,
emergency_medical_services,7802734.0,6894354.0,39043790.0,32460694.0,6583095.0,,
commercial_trash_fee,1126165.0,1351523.0,19622848.0,19512078.0,110771.0,,
interest_earnings,2387918.0,573731.0,62081892.0,2337176.0,59744716.0,,
licenses_and_inspection_fees,6885517.0,7283066.0,69050314.0,77118529.0,-8068215.0,,
streets,943232.0,1148542.0,11413125.0,11722557.0,-309432.0,,
health,2433914.0,7823348.0,41507658.0,67147614.0,-25639956.0,,
sheriff,,,-7506.0,69418.0,-76924.0,,
records,1474737.0,1991103.0,15039383.0,22265286.0,-7225902.0,,
court_related_costs,2055459.0,2016650.0,21165661.0,20741303.0,424358.0,,
miscellaneous,1810393.0,942367.0,30202820.0,17618847.0,12583972.0,,
total_local_nontax_revenue,37547847.0,38247639.0,392299132.0,360078950.0,32220181.0,-19534132.0,105.24
