name,jul_fy23,jul_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,4322030.0,960855.0,4322030.0,960855.0,3361175.0,,
traffic_fines,185733.0,419659.0,185733.0,419659.0,-233926.0,,
other_fines,732974.0,1096910.0,732974.0,1096910.0,-363936.0,,
reimbursements,2570834.0,6655072.0,2570834.0,6655072.0,-4084238.0,,
asset_sales,,471207.0,,471207.0,-471207.0,,
payments_in_lieu_of_taxes,998140.0,1086469.0,998140.0,1086469.0,-88329.0,,
cable_television,,,,,,,
emergency_medical_services,3079400.0,2777726.0,3079400.0,2777726.0,301673.0,,
commercial_trash_fee,1186776.0,1019372.0,1186776.0,1019372.0,167404.0,,
interest_earnings,1990985.0,-696986.0,1990985.0,-696986.0,2687971.0,,
licenses_and_inspection_fees,4373849.0,5505065.0,4373849.0,5505065.0,-1131215.0,,
streets,1255954.0,1480618.0,1255954.0,1480618.0,-224664.0,,
health,7814487.0,8850056.0,7814487.0,8850056.0,-1035569.0,,
sheriff,-7206.0,-1800.0,-7206.0,-1800.0,-5406.0,,
records,1740228.0,1097521.0,1740228.0,1097521.0,642707.0,,
court_related_costs,1780162.0,1963114.0,1780162.0,1963114.0,-182952.0,,
miscellaneous,1738477.0,1366114.0,1738477.0,1366114.0,372363.0,,
total_local_nontax_revenue,33762825.0,34050974.0,33762825.0,34050974.0,-288149.0,339002175.0,9.06
