name,oct_fy21,oct_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,227691.0,303298.0,1363173.0,1424395.0,-61222.0,,
other_fines,848164.0,2296432.0,3016347.0,5711677.0,-2695330.0,,
reimbursements,2650078.0,7346926.0,10707780.0,16409011.0,-5701232.0,,
asset_sales,333716.0,118759.0,362316.0,716125.0,-353809.0,,
payments_in_lieu_of_taxes,821072.0,748184.0,1478092.0,1740706.0,-262614.0,,
cable_television,1768676.0,,1768676.0,5520539.0,-3751864.0,,
emergency_medical_services,2806131.0,158451.0,11779753.0,12743913.0,-964160.0,,
commercial_trash_fee,401455.0,400490.0,1835259.0,2356300.0,-521042.0,,
interest_earnings,-1203782.0,117409.0,2135481.0,295282.0,1840199.0,,
licenses_and_inspection_fees,5968260.0,4967138.0,20493150.0,21447629.0,-954479.0,,
streets,413200.0,1169533.0,3787457.0,5061777.0,-1274321.0,,
health,3798286.0,5575726.0,15716731.0,21851817.0,-6135086.0,,
sheriff,,2794624.0,183532.0,7884968.0,-7701437.0,,
records,1772746.0,1680224.0,6444888.0,6344731.0,100157.0,,
court_related_costs,1338664.0,2124435.0,5915709.0,9411110.0,-3495400.0,,
miscellaneous,1635951.0,1738252.0,8737113.0,5659249.0,3077864.0,,
total_local_nontax_revenue,23580307.0,31539882.0,95725456.0,124579229.0,-28853774.0,262164544.0,26.75
