name,jul_fy19,jul_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4367130.0,4135312.0,4367130.0,4135312.0,231818.0,55308870.0,7.32
traffic_fines,367286.0,390934.0,367286.0,390934.0,-23648.0,6832714.0,5.1
payments_in_lieu_of_taxes,,149381.0,902600.0,149381.0,753219.0,1697400.0,34.72
cable_television,,387000.0,,387000.0,-387000.0,24363000.0,0.0
emergency_medical_services,3141217.0,3839116.0,3141217.0,3839116.0,-697899.0,36858783.0,7.85
court_related_costs,5320828.0,3825236.0,5320828.0,3825236.0,1495592.0,37679172.0,12.37
interest_earnings,64520.0,132184.0,64520.0,132184.0,-67664.0,2704480.0,2.33
asset_sales,973090.0,111894.0,70490.0,111894.0,-41404.0,1179510.0,5.64
all_other_local_nontaxes,14247692.0,11310691.0,14247692.0,11310691.0,2937001.0,96578308.0,12.86
total_local_nontax_revenue,28481763.0,24281748.0,28481763.0,24281748.0,4200015.0,263202237.0,9.76
