name,dec_fy23,dec_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,84115.0,7498500.0,5252200.0,15764505.0,-10512305.0,,
traffic_fines,186362.0,,1094491.0,1212864.0,-118373.0,,
other_fines,688353.0,521427.0,5068028.0,5349671.0,-281643.0,,
reimbursements,-45908.0,2333778.0,19831512.0,18781585.0,1049926.0,,
asset_sales,,134238.0,571451.0,1566756.0,-995305.0,,
payments_in_lieu_of_taxes,,,1039317.0,1179660.0,-140343.0,,
cable_television,,4831185.0,8809941.0,12913292.0,-4103351.0,,
emergency_medical_services,1164921.0,2710722.0,17038080.0,15699343.0,1338737.0,,
commercial_trash_fee,4784776.0,7208315.0,12227327.0,12333421.0,-106094.0,,
interest_earnings,6969315.0,55076.0,34409800.0,2932266.0,31477535.0,,
licenses_and_inspection_fees,5789618.0,12589706.0,31296049.0,41965618.0,-10669569.0,,
streets,905053.0,1328161.0,6255329.0,7525381.0,-1270053.0,,
health,4115415.0,8547912.0,26635781.0,33096390.0,-6460609.0,,
sheriff,,,-7506.0,-2920.0,-4586.0,,
records,1387232.0,2540621.0,8918545.0,8813631.0,104913.0,,
court_related_costs,1666050.0,1544607.0,11635663.0,8912943.0,2722720.0,,
miscellaneous,506658.0,1319578.0,14291955.0,6481352.0,7810603.0,,
total_local_nontax_revenue,28201960.0,53163824.0,204367962.0,194525759.0,9842204.0,168397038.0,54.82
