name,oct_fy16,oct_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3954393.0,3636479.0,15907048.0,14053366.0,1853682.0,37103952.0,30.01
traffic_fines,550988.0,582214.0,2127488.0,708423.0,1419065.0,4872512.0,30.39
payments_in_lieu_of_taxes,419692.0,403977.0,777639.0,9744241.0,-8966602.0,1622361.0,32.4
cable_television,,4225041.0,5760233.0,12072888.0,-6312655.0,15681767.0,26.86
emergency_medical_services,2964120.0,3112320.0,12434220.0,,12434220.0,24965780.0,33.25
court_related_costs,3583079.0,3804253.0,15266708.0,15731500.0,-464792.0,25933292.0,37.06
interest_earnings,177625.0,-78034.0,3260481.0,340885.0,2919596.0,-1291481.0,165.59
asset_sales,1267957.0,800.0,3923590.0,491148.0,3432442.0,1326410.0,74.74
all_other_local_nontaxes,8513132.0,9069470.0,39330878.0,38993777.0,337101.0,66804122.0,37.06
total_local_nontax_revenue,21430986.0,24756520.0,98788285.0,92136228.0,6652057.0,177018715.0,35.82
