name,jan_fy19,jan_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5622378.0,5522490.0,35347182.0,32780548.0,2566634.0,24328818.0,59.23
traffic_fines,404199.0,397291.0,2640663.0,2722332.0,-81669.0,4559337.0,36.68
payments_in_lieu_of_taxes,311765.0,287957.0,500282.0,867621.0,-367339.0,2099718.0,19.24
cable_television,,,11031767.0,11875275.0,-843508.0,13331233.0,45.28
emergency_medical_services,3200021.0,3939081.0,22379920.0,24920299.0,-2540379.0,17620080.0,55.95
court_related_costs,3878796.0,4497631.0,28845183.0,29410094.0,-564911.0,14154817.0,67.08
interest_earnings,2212780.0,2257415.0,8969835.0,3729489.0,5240346.0,-6200835.0,323.94
asset_sales,175123.0,1478.0,688825.0,696761.0,-7936.0,561175.0,55.11
all_other_local_nontaxes,16426620.0,9589447.0,80370453.0,76925666.0,3444787.0,30455547.0,72.52
total_local_nontax_revenue,32231682.0,26492790.0,190774110.0,183928085.0,6846025.0,100909890.0,65.4
