name,jun_fy22,jun_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,2611200.0,,27034618.0,,27034618.0,,
traffic_fines,232025.0,301249.0,2915509.0,3648603.0,-733094.0,,
other_fines,1177473.0,947552.0,10430871.0,10535481.0,-104610.0,,
reimbursements,-728987.0,-1002578.0,26083416.0,17847644.0,8235772.0,,
asset_sales,10003539.0,246931.0,12131100.0,855883.0,11275218.0,,
payments_in_lieu_of_taxes,371075.0,105341.0,4824887.0,5068841.0,-243954.0,,
cable_television,3106285.0,1724530.0,22437658.0,16737182.0,5700477.0,,
emergency_medical_services,3086688.0,2465948.0,35547382.0,31764343.0,3783039.0,,
commercial_trash_fee,799009.0,1707511.0,20311087.0,19609501.0,701586.0,,
interest_earnings,812795.0,-1189580.0,3149971.0,11814539.0,-5138738.0,,
licenses_and_inspection_fees,5485608.0,6087076.0,82604136.0,72544321.0,10059815.0,,
streets,1104132.0,970444.0,12826689.0,10933734.0,1892954.0,,
health,8048786.0,9637579.0,75196400.0,65195881.0,10000519.0,,
sheriff,,4672.0,69418.0,195320.0,-125902.0,,
records,1551434.0,1638657.0,23816720.0,19722233.0,4094487.0,,
court_related_costs,2005692.0,1258119.0,22746995.0,21022380.0,1724615.0,,
miscellaneous,2809294.0,2727356.0,20428141.0,37202462.0,-16774321.0,,
total_local_nontax_revenue,42476047.0,27630808.0,402554998.0,344698347.0,61382480.0,-38297166.0,110.39
