name,jul_fy24,jul_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,2000.0,4322030.0,2000.0,4322030.0,-4320030.0,,
traffic_fines,158134.0,185733.0,158134.0,185733.0,-27599.0,,
other_fines,619240.0,732974.0,619240.0,732974.0,-113735.0,,
reimbursements,5848268.0,2570834.0,5848268.0,2570834.0,3277434.0,,
asset_sales,,,,,,,
payments_in_lieu_of_taxes,142438.0,998140.0,142438.0,998140.0,-855702.0,,
cable_television,,,,,,,
emergency_medical_services,4667139.0,3079400.0,4667139.0,3079400.0,1587740.0,,
commercial_trash_fee,989558.0,1186776.0,989558.0,1186776.0,-197218.0,,
interest_earnings,15045189.0,1990985.0,15045189.0,1990985.0,13054203.0,,
licenses_and_inspection_fees,6634275.0,4211692.0,6634275.0,4211692.0,2422583.0,,
streets,217944.0,1255954.0,217944.0,1255954.0,-1038010.0,,
health,2941897.0,7814487.0,2941897.0,7814487.0,-4872591.0,,
sheriff,1500000.0,-7206.0,1500000.0,-7206.0,1507206.0,,
records,1278371.0,1740228.0,1278371.0,1740228.0,-461857.0,,
court_related_costs,1901428.0,1780162.0,1901428.0,1780162.0,121266.0,,
miscellaneous,1187521.0,1738477.0,1187521.0,1738477.0,-550956.0,,
total_local_nontax_revenue,43133402.0,33600667.0,43133402.0,33600667.0,9532734.0,343599598.0,11.15
