name,jun_fy16,jun_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4130125.0,4387721.0,53617209.0,52303372.0,1313837.0,393791.0,99.27
traffic_fines,522704.0,484720.0,5992930.0,6421805.0,-428875.0,1007070.0,85.61
payments_in_lieu_of_taxes,1212090.0,1345677.0,4001237.0,3827172.0,174065.0,-1601237.0,166.72
cable_television,,,22788377.0,21929922.0,858455.0,-1346377.0,106.28
emergency_medical_services,3477090.0,2994063.0,42263073.0,35782725.0,6480348.0,-5863073.0,116.11
court_related_costs,4286611.0,4256671.0,45488331.0,45576230.0,-87899.0,-4288331.0,110.41
interest_earnings,411369.0,346620.0,5162961.0,1746655.0,3416306.0,-2162961.0,172.1
asset_sales,4508.0,3377.0,5100012.0,292111.0,4807901.0,-1300012.0,134.21
all_other_local_nontaxes,4620228.0,4675908.0,108097492.0,104519496.0,3577996.0,6566508.0,94.27
total_local_nontax_revenue,18664725.0,18494757.0,292511622.0,272399488.0,20112134.0,-8594622.0,103.03
