name,aug_fy23,aug_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,,671255.0,4322030.0,1632110.0,2689920.0,,
traffic_fines,171448.0,237421.0,357181.0,657081.0,-299900.0,,
other_fines,1149968.0,1470916.0,1882943.0,2567826.0,-684883.0,,
reimbursements,6474104.0,3550162.0,9044938.0,10205234.0,-1160295.0,,
asset_sales,839.0,621616.0,839.0,1092823.0,-1091984.0,,
payments_in_lieu_of_taxes,,93192.0,998140.0,1179660.0,-181521.0,,
cable_television,1528155.0,8082107.0,1528155.0,8082107.0,-6553952.0,,
emergency_medical_services,3512574.0,2347969.0,6591974.0,5125696.0,1466278.0,,
commercial_trash_fee,743931.0,524281.0,1930707.0,1543653.0,387055.0,,
interest_earnings,7238134.0,357630.0,9229120.0,-339356.0,9568475.0,,
licenses_and_inspection_fees,6102030.0,6049430.0,10475880.0,11554495.0,-1078615.0,,
streets,1290408.0,997275.0,2546362.0,2465393.0,80968.0,,
health,5450602.0,4159564.0,13265090.0,13009620.0,255469.0,,
sheriff,,,-7206.0,-1800.0,-5406.0,,
records,1746844.0,1410624.0,3487072.0,2508145.0,978926.0,,
court_related_costs,2044333.0,1015177.0,3824495.0,2972727.0,851768.0,,
miscellaneous,982539.0,1573340.0,2721016.0,2957519.0,-236503.0,,
total_local_nontax_revenue,38435910.0,33161959.0,72198734.0,67212933.0,4985802.0,300566266.0,19.37
