name,apr_fy22,apr_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,75.0,103175.0,24363418.0,3598365.0,20765053.0,,
traffic_fines,281342.0,411588.0,2466255.0,3007414.0,-541159.0,-2466255.0,
other_fines,852936.0,1104189.0,8757775.0,8911045.0,-153270.0,-8757775.0,
reimbursements,1286984.0,726262.0,24466715.0,16759648.0,7707067.0,-24466715.0,
asset_sales,,30271.0,1566834.0,608951.0,957883.0,-1566834.0,
payments_in_lieu_of_taxes,2440378.0,198873.0,4346995.0,4930872.0,-583877.0,-4346995.0,
cable_television,,,14894501.0,11696229.0,3198272.0,-14894501.0,
emergency_medical_services,4100128.0,2992022.0,25566341.0,26961428.0,-1395087.0,-25566341.0,
commercial_trash_fee,789324.0,728372.0,18160555.0,16447142.0,1713413.0,-18160555.0,
interest_earnings,-956771.0,2250198.0,1763445.0,12084305.0,-10320860.0,,
licenses_and_inspection_fees,6683848.0,7023932.0,69835463.0,61192428.0,8643036.0,-69835463.0,
streets,972554.0,614462.0,10574015.0,8821309.0,1752707.0,-10574015.0,
health,7668867.0,5933233.0,59324266.0,50933170.0,8391096.0,-59324266.0,
sheriff,,-680.0,69418.0,190238.0,-120820.0,-69418.0,
records,2622431.0,1698169.0,20274183.0,16278132.0,3996051.0,-20274183.0,
court_related_costs,1763988.0,1928898.0,18724653.0,16238137.0,2486516.0,-18724653.0,
miscellaneous,3279816.0,1299236.0,16676480.0,17372882.0,-696402.0,-16676480.0,
total_local_nontax_revenue,31785898.0,27042198.0,321831311.0,276031694.0,45799618.0,46622689.0,87.35
